0.38,0.463,0.507,0.586,0.886,0.949,1.111,1.479,1.507,1.538,1.707,1.822,1.965,2.155,2.516,2.614,2.668,3.128,3.731,3.936,4.124,4.156,4.462,4.579,4.723,4.756,4.957,5.045,5.072,5.104,5.335,5.396,5.839,6.455,6.924,6.96,7.431,8.151,8.268,8.514,8.551,8.577,8.922,9.007,9.244,9.269,9.385,9.546,9.752,10.818,11.138,11.282,11.519,11.829,12.089,12.217,12.272,12.662,12.733,12.761,12.801,12.929,13.049,13.31,13.459,13.493,13.547,13.631,13.685,13.852,14.345,14.597,14.851,15.009,15.449,16.19,16.463,16.701,17.059,17.227,17.267,17.72,17.748,17.922,17.965,18.178,18.537,18.642,18.958,19.281,19.309,19.409,19.454,19.776,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.105,0.219,0.671,1.068,1.262,1.508,1.666,1.715,1.874,2.268,2.342,2.824,2.876,3.0,3.043,3.196,3.583,3.686,3.831,4.034,4.109,4.398,4.562,4.715,4.833,4.893,4.959,5.334,5.468,5.527,5.552,5.616,5.686,5.769,5.818,5.985,6.228,6.518,6.938,7.511,7.578,7.672,7.698,7.791,8.268,8.389,8.647,8.702,8.884,8.928,9.007,9.198,9.701,9.836,9.886,10.149,10.189,10.304,10.613,11.752,11.905,12.053,12.293,12.512,12.676,12.991,13.755,13.954,14.196,14.409,14.531,15.095,15.606,15.709,15.769,15.92,16.2,16.381,16.401,16.445,16.492,16.549,16.854,16.896,17.094,17.405,17.661,17.85,17.981,18.167,18.228,18.415,19.424,19.629,19.722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15,0.3,0.457,0.543,1.009,1.181,1.307,1.409,1.491,1.531,1.551,1.675,1.729,1.795,1.887,2.021,2.084,2.205,2.451,2.615,2.98,3.053,3.248,3.407,3.531,3.808,3.857,3.889,3.92,3.96,4.299,4.441,4.484,4.581,4.652,4.745,4.919,5.115,5.177,5.311,5.366,5.557,5.589,5.716,5.809,6.058,6.17,6.361,6.867,7.11,7.287,7.333,7.692,7.787,8.743,8.964,9.027,9.064,9.135,9.179,9.254,9.31,9.356,9.413,9.769,9.953,10.18,10.456,10.591,10.967,11.021,11.261,11.327,11.594,12.189,12.829,12.928,13.048,13.316,13.348,13.47,13.494,13.693,14.034,14.128,14.249,14.411,14.523,14.986,15.334,15.509,15.606,15.762,16.113,16.379,16.44,16.58,16.62,16.66,16.761,16.807,17.053,17.09,17.244,17.334,17.426,17.466,17.871,17.973,18.148,18.509,18.556,18.6,18.751,18.907,19.249,19.371,19.409,19.513,19.787,19.918
0.06,0.385,0.458,0.72,1.101,1.405,1.692,1.787,1.843,2.051,2.265,2.345,2.74,2.93,3.091,3.152,3.181,3.345,3.595,3.925,4.0,4.266,4.359,4.571,4.598,4.659,4.734,4.756,4.781,4.835,4.995,5.229,5.302,5.807,5.888,6.002,6.692,7.154,7.208,7.597,7.82,7.904,8.128,8.279,8.332,8.411,8.48,8.598,8.891,8.989,9.161,9.807,10.031,10.495,11.216,11.721,11.792,11.932,11.943,11.97,12.151,12.19,12.326,12.569,12.629,12.71,12.954,13.115,13.144,13.169,13.216,13.254,13.406,13.492,13.584,14.1,14.283,14.464,14.681,14.908,15.043,15.301,15.431,16.143,16.493,16.654,16.764,17.094,17.146,17.242,18.218,18.405,18.763,19.825,19.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.072,0.247,0.285,0.37,0.52,0.675,0.955,1.02,1.062,1.108,1.176,1.255,1.383,1.653,1.684,1.783,2.198,2.322,2.469,2.593,3.355,3.58,3.787,3.847,4.016,4.267,4.507,4.688,4.787,4.865,4.906,4.996,5.158,5.196,5.459,5.694,5.742,5.956,6.291,6.336,6.369,6.437,6.703,6.773,7.004,7.281,7.383,7.739,7.998,8.167,8.285,8.571,8.757,8.898,9.355,9.436,9.479,9.54,9.614,9.846,9.884,10.075,10.117,10.348,10.531,10.674,10.71,10.735,11.119,11.512,11.553,11.93,12.045,12.215,12.587,12.658,12.862,12.95,12.996,13.079,13.147,13.864,14.076,14.197,14.383,14.698,14.758,15.189,15.375,15.43,15.464,15.819,16.063,16.162,16.233,16.622,17.226,17.334,17.436,17.671,17.765,18.256,18.402,18.612,18.712,18.763,18.796,19.294,19.641,19.966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.099,0.714,0.887,0.943,1.245,1.294,1.479,1.522,1.729,1.855,2.048,2.115,2.426,2.557,2.866,3.44,3.571,3.809,4.201,4.245,4.44,4.485,4.557,4.635,4.664,4.711,4.815,5.091,5.254,5.388,5.42,5.649,5.705,6.199,6.553,6.594,6.812,8.181,8.399,8.502,8.527,8.653,8.715,8.777,8.8,8.879,9.054,9.149,9.48,9.54,9.598,9.769,9.849,9.971,10.146,10.285,10.491,10.59,10.651,10.872,10.952,11.106,11.22,11.564,11.77,11.915,11.97,12.013,12.529,12.63,12.815,12.873,12.914,13.021,13.286,13.425,13.475,13.511,13.694,14.459,14.527,14.678,14.981,15.009,15.745,15.829,16.228,16.958,17.025,17.082,17.149,17.256,17.701,17.797,17.84,17.96,18.198,18.454,18.523,19.179,19.845,19.981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.577,0.622,0.7,0.741,0.909,0.984,1.014,1.048,1.069,1.318,1.348,1.38,1.536,1.61,1.767,1.965,2.465,3.169,3.248,3.315,3.881,3.934,4.053,4.243,4.415,4.466,4.512,4.77,4.835,5.051,5.223,5.351,5.367,5.548,5.598,6.381,6.432,6.633,6.958,7.12,7.332,7.881,7.939,8.02,8.466,8.486,8.744,8.782,8.993,9.087,9.125,9.232,9.297,9.481,11.356,11.711,12.143,12.665,12.816,12.888,12.938,13.062,13.149,13.37,13.699,13.756,13.79,13.837,13.873,13.917,14.095,14.122,14.174,14.393,14.655,14.907,15.062,15.427,15.796,15.901,16.123,16.199,16.24,16.685,16.726,16.77,16.925,17.202,17.492,17.528,17.652,17.809,17.922,18.027,18.301,18.599,18.89,19.129,19.219,19.242,19.264,19.326,19.647,19.867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.067,0.233,0.422,0.45,0.894,1.079,1.217,1.572,1.653,1.942,2.201,2.372,2.706,2.839,3.187,3.253,3.384,3.801,4.242,4.348,4.482,4.553,4.802,4.927,4.948,5.048,5.448,5.636,5.822,6.504,6.664,6.736,7.317,7.626,7.778,8.142,8.306,8.662,8.955,9.051,9.079,9.108,9.151,9.211,9.372,9.536,9.763,9.794,9.938,10.122,10.388,10.569,11.023,11.094,11.903,12.203,12.379,12.469,12.933,12.961,13.03,13.168,13.418,13.564,13.804,13.942,13.992,14.245,14.305,14.992,15.204,15.761,16.264,16.369,16.434,16.607,16.707,16.903,17.142,17.388,17.905,18.007,18.105,18.285,18.449,18.708,18.812,18.885,19.599,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.071,0.51,0.762,0.787,0.985,1.085,1.126,1.434,1.587,1.648,2.003,2.037,2.149,2.29,2.627,2.757,2.792,3.616,3.96,4.085,4.124,4.508,4.638,4.885,4.903,4.946,5.049,5.097,5.194,5.368,5.719,5.858,5.942,6.089,6.586,6.661,6.958,7.105,7.411,7.792,8.17,8.264,8.633,8.734,8.771,9.333,10.109,10.14,10.431,10.465,10.908,10.995,11.267,11.421,11.784,12.266,12.361,12.527,12.564,12.865,12.96,13.02,13.168,13.235,13.259,13.67,13.752,13.796,13.823,13.985,14.092,14.137,14.237,14.333,14.548,14.722,14.874,15.243,15.346,15.51,15.565,15.696,15.769,15.897,16.052,16.077,16.21,16.304,16.39,16.511,16.751,16.988,17.041,17.265,17.351,17.487,17.757,17.819,17.88,17.923,18.369,18.393,18.564,19.46,19.516,19.678,19.871,19.983,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.095,0.121,0.303,0.413,0.482,0.533,0.845,0.888,1.044,1.272,1.464,1.497,1.599,1.97,2.262,3.238,3.282,3.353,3.573,3.628,3.904,3.995,4.138,4.292,4.469,4.671,4.801,5.074,5.344,5.556,5.64,5.883,5.952,5.995,6.165,6.224,6.629,6.741,6.828,7.286,7.497,7.525,7.582,7.623,7.972,8.15,8.287,8.384,8.579,8.713,8.778,9.005,9.064,9.118,9.172,9.388,9.43,9.497,9.869,9.916,9.96,10.088,10.143,10.207,10.228,10.316,10.486,10.774,10.944,11.348,11.495,11.699,11.755,11.845,12.021,12.167,12.246,12.298,12.485,12.536,12.705,12.976,13.059,13.124,13.159,13.192,13.297,13.378,13.479,13.737,13.971,14.043,14.123,14.226,14.469,14.538,14.61,14.647,15.15,15.973,16.16,16.284,16.362,16.561,16.829,17.127,17.304,17.434,17.516,17.574,18.148,18.595,18.634,18.716,18.945,19.185,19.332,19.371,19.616,19.819,19.987
