0.202,0.31,0.332,0.372,0.505,0.545,0.59,0.708,0.815,0.84,0.906,0.979,1.033,1.093,1.223,1.284,1.432,1.58,1.632,1.754,1.822,1.896,2.136,2.192,2.272,2.345,2.564,2.628,2.643,2.72,2.792,2.867,2.933,2.972,3.046,3.082,3.175,3.243,3.384,3.416,3.51,3.575,3.596,3.637,3.742,3.888,3.92,4.004,4.025,4.089,4.201,4.228,4.269,4.353,4.4,4.452,4.545,4.6,4.634,4.735,4.79,4.875,4.908,4.941,5.074,5.156,5.177,5.276,5.797,5.986,6.025,6.189,6.248,6.273,6.315,6.355,6.391,6.452,6.495,6.513,6.575,6.629,6.695,6.741,6.831,6.869,6.966,7.016,7.076,7.145,7.215,7.367,7.406,7.453,7.514,7.568,7.611,7.678,7.747,7.86,7.916,7.948,8.02,8.116,8.203,8.282,8.347,8.402,8.423,8.653,8.807,8.868,9.038,9.096,9.144,9.2,9.309,9.332,9.366,9.479,9.615,9.685,9.724,9.804,9.979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065,0.14,0.216,0.253,0.513,0.554,0.598,0.647,0.732,0.778,0.907,0.964,1.065,1.146,1.209,1.28,1.388,1.508,1.555,1.596,1.62,1.769,1.817,1.863,1.96,2.001,2.044,2.171,2.323,2.364,2.419,2.475,2.556,2.586,2.6,2.622,2.67,2.731,2.826,2.847,2.861,2.898,2.944,2.987,3.025,3.142,3.162,3.323,3.368,3.459,3.545,3.595,3.646,3.681,3.703,3.787,3.864,3.979,4.147,4.26,4.329,4.395,4.425,4.456,4.482,4.557,4.586,4.616,4.852,4.942,5.008,5.021,5.189,5.257,5.297,5.391,5.5,5.583,5.654,5.734,5.82,5.956,5.977,6.055,6.18,6.204,6.356,6.418,6.677,6.721,6.773,6.903,6.966,7.002,7.09,7.215,7.267,7.321,7.357,7.418,7.582,7.62,7.68,7.752,7.802,7.839,7.86,7.894,7.912,7.996,8.011,8.082,8.116,8.203,8.231,8.301,8.335,8.407,8.466,8.54,8.584,8.736,8.768,8.817,8.915,8.977,9.064,9.082,9.122,9.234,9.275,9.295,9.312,9.338,9.552,9.712,9.77,9.79,9.825,9.926,9.984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.083,0.114,0.193,0.26,0.3,0.407,0.475,0.613,0.723,0.788,0.824,0.892,0.974,1.005,1.192,1.384,1.4,1.498,1.541,1.569,1.6,1.618,1.639,1.666,1.749,1.785,1.907,1.927,2.011,2.072,2.148,2.184,2.262,2.325,2.35,2.401,2.435,2.472,2.486,2.507,2.558,2.72,2.739,2.816,2.96,3.002,3.042,3.228,3.302,3.459,3.483,3.518,3.604,3.704,3.803,3.899,3.911,4.002,4.077,4.098,4.196,4.392,4.586,4.607,4.627,4.663,4.709,4.758,4.803,4.823,4.844,5.084,5.118,5.144,5.206,5.446,5.471,5.594,5.663,5.725,5.849,5.94,5.981,6.101,6.136,6.181,6.283,6.333,6.35,6.389,6.444,6.461,6.586,6.685,6.744,6.932,6.997,7.052,7.097,7.123,7.162,7.198,7.248,7.321,7.361,7.429,7.53,7.594,7.8,7.831,7.866,7.91,7.945,7.979,8.041,8.065,8.093,8.199,8.351,8.37,8.392,8.479,8.638,8.699,8.796,8.835,8.862,8.925,9.092,9.163,9.2,9.244,9.283,9.313,9.364,9.401,9.491,9.546,9.635,9.699,9.819,9.855,9.953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054,0.13,0.148,0.19,0.241,0.275,0.293,0.321,0.356,0.434,0.469,0.765,0.82,0.889,0.944,1.034,1.132,1.17,1.21,1.267,1.305,1.397,1.446,1.551,1.695,1.914,1.979,2.03,2.169,2.255,2.605,2.624,2.691,2.734,2.803,2.835,2.905,2.933,3.007,3.104,3.151,3.212,3.352,3.402,3.445,3.469,3.554,3.612,3.674,3.693,3.728,3.753,3.77,3.923,3.989,4.05,4.063,4.131,4.155,4.182,4.391,4.469,4.526,4.554,4.582,4.727,4.774,4.896,5.037,5.103,5.146,5.277,5.307,5.338,5.446,5.554,5.662,5.708,5.74,5.8,5.823,5.849,5.914,5.962,6.095,6.124,6.136,6.223,6.266,6.319,6.4,6.509,6.576,6.798,6.831,6.936,6.96,7.029,7.106,7.192,7.248,7.295,7.361,7.396,7.487,7.579,7.67,7.812,7.851,7.868,8.03,8.081,8.108,8.198,8.28,8.348,8.472,8.641,8.759,8.823,8.935,9.026,9.101,9.23,9.288,9.425,9.472,9.557,9.609,9.701,9.894,9.948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056,0.103,0.17,0.207,0.313,0.389,0.488,0.554,0.645,0.695,0.743,0.922,0.977,1.04,1.08,1.142,1.307,1.355,1.4,1.425,1.479,1.498,1.515,1.615,1.634,1.822,1.854,1.911,1.944,2.097,2.183,2.227,2.263,2.322,2.34,2.385,2.415,2.45,2.467,2.502,2.538,2.669,2.685,2.7,2.784,2.929,2.987,3.131,3.17,3.216,3.275,3.417,3.53,3.561,3.597,3.627,3.687,3.883,3.935,4.092,4.119,4.136,4.21,4.423,4.485,4.518,4.559,4.624,4.654,4.706,4.731,4.754,4.772,4.817,4.877,4.991,5.027,5.226,5.302,5.34,5.365,5.721,5.755,5.895,5.933,5.963,6.183,6.22,6.364,6.394,6.428,6.546,6.579,6.648,6.705,6.727,6.908,6.953,7.153,7.196,7.243,7.319,7.38,7.468,7.485,7.498,7.521,7.588,7.625,7.706,7.748,7.831,7.872,8.06,8.236,8.324,8.369,8.413,8.596,8.614,8.658,8.708,8.732,8.8,8.884,8.928,9.019,9.034,9.142,9.193,9.297,9.494,9.525,9.623,9.737,9.787,9.863,9.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.061,0.093,0.182,0.268,0.397,0.565,0.588,0.635,0.738,1.079,1.129,1.201,1.217,1.389,1.421,1.578,1.604,1.658,1.838,1.888,1.94,2.003,2.059,2.114,2.211,2.332,2.434,2.543,2.612,2.671,2.718,2.781,2.941,3.039,3.067,3.1,3.247,3.338,3.498,3.602,3.767,3.8,3.819,3.96,4.029,4.174,4.212,4.236,4.282,4.328,4.411,4.486,4.63,4.692,4.842,4.888,5.053,5.093,5.139,5.183,5.304,5.34,5.51,5.615,5.644,5.667,5.739,5.824,5.88,5.979,5.996,6.063,6.077,6.158,6.188,6.221,6.354,6.391,6.431,6.543,6.56,6.58,6.63,6.701,6.752,6.783,6.8,6.846,6.974,7.04,7.073,7.213,7.288,7.373,7.58,7.687,7.757,7.779,7.888,7.911,8.043,8.096,8.202,8.252,8.351,8.37,8.444,8.558,8.605,8.653,8.695,9.05,9.105,9.235,9.286,9.308,9.326,9.364,9.397,9.471,9.502,9.569,9.624,9.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.048,0.145,0.22,0.25,0.297,0.356,0.406,0.453,0.564,0.59,0.625,0.731,0.842,0.899,0.936,0.994,1.098,1.139,1.196,1.372,1.388,1.445,1.493,1.568,1.592,1.613,1.63,1.669,1.817,1.952,2.047,2.126,2.166,2.255,2.356,2.406,2.421,2.47,2.536,2.569,2.607,2.669,2.718,2.784,2.809,2.907,2.977,3.184,3.226,3.31,3.415,3.509,3.553,3.6,3.622,3.641,3.737,3.774,3.842,3.871,3.956,4.092,4.197,4.243,4.271,4.321,4.391,4.537,4.579,4.678,4.784,4.901,4.934,5.029,5.066,5.084,5.12,5.232,5.273,5.31,5.329,5.445,5.553,5.59,5.603,5.632,5.659,5.71,5.807,5.849,5.89,5.906,5.947,6.028,6.178,6.209,6.253,6.409,6.454,6.506,6.56,6.619,6.723,6.775,6.832,6.936,7.081,7.12,7.236,7.276,7.365,7.403,7.598,7.627,7.698,7.806,7.83,7.854,7.904,7.976,8.033,8.135,8.184,8.237,8.254,8.289,8.356,8.449,8.553,8.616,8.669,8.777,8.824,8.874,8.897,9.001,9.108,9.18,9.213,9.312,9.345,9.458,9.665,9.691,9.749,9.834,9.88,9.985,nan,nan,nan,nan,nan,nan,nan
0.066,0.12,0.357,0.395,0.422,0.507,0.599,0.671,0.701,0.871,0.921,0.984,1.02,1.114,1.147,1.183,1.214,1.27,1.293,1.341,1.392,1.702,1.89,2.021,2.058,2.12,2.393,2.469,2.556,2.592,2.66,2.713,2.752,2.816,2.857,2.901,2.935,3.003,3.045,3.076,3.114,3.151,3.188,3.384,3.46,3.499,3.586,3.626,3.649,3.705,3.736,3.856,3.885,3.947,4.004,4.324,4.442,4.552,4.625,4.677,4.731,4.787,4.844,4.93,5.023,5.133,5.174,5.21,5.309,5.353,5.384,5.552,5.58,5.648,5.671,5.717,5.784,5.825,5.867,5.973,6.089,6.115,6.18,6.426,6.447,6.473,6.535,6.564,6.59,6.637,6.704,6.791,6.828,6.853,6.894,6.959,6.99,7.103,7.248,7.411,7.443,7.457,7.544,7.662,7.704,7.74,7.822,7.941,8.018,8.076,8.151,8.243,8.295,8.321,8.424,8.456,8.556,8.725,8.746,8.786,8.819,8.862,8.905,8.982,9.023,9.118,9.176,9.207,9.252,9.323,9.434,9.461,9.532,9.688,9.726,9.768,9.785,9.85,9.872,9.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.029,0.135,0.205,0.291,0.338,0.44,0.501,0.526,0.568,0.606,0.628,0.781,0.847,0.998,1.089,1.278,1.304,1.414,1.473,1.522,1.57,1.693,1.729,1.771,1.889,1.982,2.165,2.303,2.322,2.361,2.405,2.445,2.505,2.645,2.699,2.757,2.814,2.84,2.865,2.924,2.959,3.02,3.084,3.153,3.235,3.29,3.323,3.385,3.511,3.677,3.759,3.779,3.831,4.02,4.102,4.181,4.289,4.311,4.427,4.469,4.54,4.582,4.599,4.648,4.734,4.822,4.889,4.949,5.074,5.113,5.218,5.289,5.443,5.479,5.518,5.554,5.607,5.787,5.857,5.87,6.056,6.15,6.166,6.215,6.28,6.439,6.514,6.606,6.693,6.772,6.823,6.894,6.925,6.965,7.003,7.031,7.061,7.276,7.323,7.346,7.377,7.413,7.457,7.505,7.53,7.615,7.642,7.671,7.793,7.856,7.868,7.942,7.995,8.259,8.281,8.356,8.388,8.428,8.526,8.547,8.594,8.615,8.652,8.682,8.768,8.818,8.881,9.045,9.061,9.261,9.319,9.422,9.453,9.492,9.534,9.579,9.634,9.661,9.707,9.818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.021,0.056,0.422,0.505,0.544,0.732,0.8,0.908,1.035,1.145,1.182,1.207,1.364,1.393,1.441,1.644,1.748,1.816,1.829,1.887,1.912,1.972,2.097,2.146,2.279,2.373,2.509,2.616,2.641,2.682,2.723,2.949,2.981,3.092,3.129,3.361,3.398,3.417,3.485,3.523,3.559,3.598,3.687,3.717,3.838,3.932,3.957,3.977,4.012,4.074,4.131,4.22,4.235,4.273,4.313,4.366,4.402,4.527,4.577,4.645,4.752,4.816,4.87,5.022,5.184,5.24,5.301,5.364,5.412,5.453,5.563,5.596,5.618,5.635,5.676,5.702,5.936,6.004,6.105,6.24,6.311,6.619,6.646,6.688,6.733,6.939,6.988,7.122,7.188,7.269,7.304,7.445,7.531,7.563,7.684,7.789,7.884,7.986,7.999,8.033,8.126,8.305,8.381,8.455,8.504,8.554,8.649,8.686,8.786,8.974,8.997,9.013,9.177,9.199,9.256,9.292,9.428,9.478,9.515,9.572,9.706,9.767,9.836,9.92,9.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
