0.345,0.427,0.511,0.594,0.795,0.959,1.157,1.366,1.543,1.749,1.824,1.923,1.978,2.06,2.393,3.306,3.499,3.745,4.148,4.208,4.556,4.598,4.649,5.025,5.062,5.15,5.431,5.48,5.628,5.756,5.973,6.075,6.173,6.728,7.031,7.293,7.598,7.781,8.154,8.277,8.373,8.463,8.486,8.557,8.667,8.815,8.993,9.152,9.341,9.618,9.645,9.887,10.184,11.027,11.382,11.455,11.578,11.91,12.242,12.433,12.552,12.705,12.774,13.033,13.245,13.745,14.059,14.107,14.247,14.571,15.173,15.35,15.5,16.0,16.031,16.294,16.762,17.017,17.131,17.604,17.65,17.727,17.751,18.159,18.551,18.92,19.233,19.735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15,0.283,0.38,0.413,0.571,0.601,0.825,0.918,1.275,1.465,1.726,1.772,1.797,1.924,2.131,2.194,2.284,2.356,2.43,2.792,3.266,3.838,3.918,4.31,4.33,4.412,4.659,4.787,4.874,5.143,5.299,5.401,6.503,6.69,7.423,7.525,7.615,7.865,7.981,8.251,8.602,8.677,8.719,8.887,8.959,9.052,9.254,9.355,9.726,9.894,9.913,10.012,11.38,11.442,11.915,12.365,12.473,12.588,12.89,13.172,13.35,13.733,14.104,14.175,14.389,14.604,15.029,15.682,16.597,16.676,17.072,17.103,17.242,17.297,17.372,17.495,17.537,17.795,17.929,18.028,18.644,19.576,19.694,19.899,19.965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.221,0.271,0.372,0.399,0.492,0.636,0.697,0.743,1.137,1.156,1.295,1.426,1.48,1.69,1.8,2.607,2.769,3.011,3.446,3.953,4.233,4.364,4.581,4.624,4.656,5.046,5.131,5.278,5.382,6.037,6.342,6.963,7.277,7.388,7.548,7.741,8.135,8.268,8.305,8.537,8.597,8.639,8.676,8.717,9.059,9.368,9.575,9.603,9.646,9.792,9.953,10.211,10.389,10.692,11.662,11.855,11.94,12.079,12.113,12.163,12.247,12.321,12.454,12.518,12.578,12.804,12.966,13.208,13.293,13.546,13.625,13.811,13.946,14.546,14.683,14.731,15.123,15.321,15.536,15.82,16.062,16.24,16.298,16.364,16.469,16.496,16.561,16.646,16.723,16.83,16.916,17.016,17.138,17.361,17.536,17.575,17.734,17.996,18.385,18.462,18.499,18.683,18.792,18.944,19.207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.385,0.62,0.698,0.881,0.909,1.079,1.25,1.493,1.528,1.656,1.693,1.966,2.707,3.066,3.287,3.514,3.634,3.882,4.287,4.319,4.471,4.848,4.886,5.019,5.136,5.395,5.489,5.609,5.831,5.92,5.972,6.81,6.861,6.964,7.035,7.607,7.746,7.761,7.788,7.876,8.001,8.39,8.452,8.535,8.666,8.801,8.835,9.199,9.615,9.901,10.211,10.624,10.686,11.773,11.891,12.191,12.409,12.512,12.559,12.881,12.925,12.967,12.985,13.035,13.151,13.512,13.728,13.88,13.944,14.163,14.691,15.544,16.529,16.667,16.706,16.853,16.911,17.013,17.55,17.752,18.38,18.506,19.457,19.624,19.698,19.726,19.799,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.088,0.132,0.287,0.412,0.619,1.046,1.239,1.411,1.612,2.184,2.371,3.473,3.525,3.544,3.602,3.818,4.152,4.623,4.674,4.749,5.02,5.326,5.372,5.408,5.467,5.608,5.854,5.88,5.969,6.245,6.558,6.72,7.028,7.619,7.818,8.089,8.213,8.251,8.437,8.633,8.713,8.731,8.873,8.969,9.085,9.122,9.338,9.379,9.532,9.586,9.785,9.92,10.031,10.917,11.507,11.636,11.911,12.108,12.377,12.47,12.586,13.199,13.279,13.447,13.686,13.81,13.908,13.947,14.032,14.401,14.49,14.531,15.37,15.471,15.564,15.612,15.68,16.021,16.444,16.619,16.811,16.966,17.037,17.09,17.148,17.213,17.328,17.411,17.511,17.616,17.714,18.356,18.43,19.197,19.489,19.666,19.961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.171,0.219,0.442,0.487,0.711,0.808,0.872,1.143,1.236,1.311,1.615,1.651,1.837,2.207,3.317,3.769,3.807,3.961,4.129,4.2,4.309,4.479,4.593,4.629,4.702,4.853,4.927,4.986,5.118,5.284,5.375,5.443,5.603,5.821,5.853,5.903,6.176,6.527,6.675,6.709,6.79,6.945,7.2,7.367,8.144,8.427,8.486,8.531,8.564,8.734,8.84,9.01,9.188,9.543,9.595,9.669,9.756,9.825,9.886,10.174,10.233,10.386,11.11,12.008,12.148,12.214,12.409,12.489,12.519,12.686,12.769,12.838,13.163,13.274,13.34,13.6,13.771,14.343,14.475,15.268,15.348,15.505,15.663,15.697,15.731,15.803,15.881,16.089,16.105,16.161,16.712,16.784,17.079,17.122,17.208,17.248,17.299,17.561,17.609,17.733,17.85,18.121,19.369,19.477,19.664,19.927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.192,0.569,0.731,1.029,1.177,1.204,1.259,1.295,1.588,1.624,1.702,1.772,1.877,1.978,2.285,2.574,2.716,2.936,3.736,3.976,4.15,4.206,4.274,4.622,5.03,5.095,5.578,5.707,5.972,6.011,6.338,6.535,6.66,7.183,7.873,7.942,8.197,8.272,8.315,8.454,8.693,8.748,8.781,8.822,9.027,9.093,9.165,9.292,9.353,9.523,9.596,9.693,9.973,10.184,10.573,10.597,11.025,11.122,11.249,11.706,11.787,11.992,12.38,12.445,12.508,12.721,12.878,12.976,13.034,13.094,13.294,13.708,14.155,14.292,15.364,15.515,16.042,16.203,16.293,16.483,16.532,16.779,16.895,16.999,17.055,17.091,17.182,17.231,17.452,17.57,17.974,18.188,18.244,18.496,19.347,19.403,19.882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057,0.368,0.432,0.475,0.506,0.537,0.723,0.855,0.975,1.015,1.086,1.267,1.409,1.429,1.529,1.558,1.668,1.866,2.117,2.214,2.753,2.924,3.074,3.351,3.465,3.688,4.346,4.469,4.592,4.816,5.132,5.556,5.636,5.755,5.934,5.96,6.082,6.283,6.338,6.665,7.629,7.737,7.769,7.905,8.021,8.112,8.172,8.316,8.387,8.461,8.489,8.935,9.47,9.603,9.714,9.763,9.8,9.91,10.309,10.357,10.395,10.831,11.334,11.617,11.706,11.858,12.08,12.142,12.26,12.414,12.575,12.753,12.843,12.912,13.534,13.792,14.091,14.197,14.261,14.375,14.453,14.507,14.744,14.882,14.99,15.292,15.771,16.187,16.393,16.855,16.957,17.05,17.25,17.575,17.701,17.989,18.148,18.222,18.597,18.688,18.931,19.013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.05,0.074,0.355,0.466,0.633,0.708,0.851,0.909,1.036,1.167,1.203,1.444,1.69,1.778,1.827,1.913,2.05,2.163,2.21,2.281,2.343,2.646,2.875,3.255,3.733,3.871,4.402,4.503,4.749,4.821,4.905,4.977,5.087,5.197,5.327,5.376,5.664,5.89,5.935,6.073,6.32,6.908,7.313,7.403,7.438,7.637,7.865,7.887,7.967,8.479,8.609,8.766,8.909,9.063,9.116,9.279,9.349,9.393,9.49,9.544,9.819,10.129,10.287,10.349,10.379,10.464,10.736,11.002,11.082,11.704,12.327,12.628,13.063,13.1,13.148,13.2,13.356,13.525,14.258,14.395,14.616,14.637,15.453,15.592,15.645,15.688,15.941,16.09,16.265,16.331,16.426,16.741,16.951,16.987,17.108,17.162,17.512,17.58,17.778,17.809,18.073,18.155,18.777,19.333,19.502,19.632,19.724,19.906,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039,0.226,0.599,0.658,0.73,0.749,0.856,1.026,1.311,1.412,2.015,2.122,2.466,2.846,3.078,3.334,4.26,4.307,4.361,4.465,4.839,4.914,5.116,5.138,5.647,5.742,5.786,5.959,6.001,6.499,6.652,7.083,8.661,8.689,8.851,9.107,9.356,9.582,9.739,9.862,9.916,10.591,10.683,11.271,11.366,11.398,11.548,11.667,12.024,12.056,12.205,12.35,12.619,12.82,13.055,13.205,13.451,13.644,14.192,14.219,14.421,14.539,14.878,15.428,15.923,15.96,16.002,16.14,16.221,16.279,16.311,16.53,16.634,16.66,16.746,16.773,16.934,17.164,17.211,17.272,17.43,17.472,17.541,17.823,18.038,18.597,18.681,18.71,18.895,18.938,19.411,19.456,19.566,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
