0.077,0.287,0.778,1.021,1.171,1.223,1.637,1.756,1.93,2.005,2.078,2.204,2.262,2.396,3.083,3.421,3.632,3.995,4.334,4.358,4.558,4.595,4.77,4.869,5.188,5.456,5.553,5.599,5.628,5.709,5.904,6.048,6.103,6.579,7.071,7.79,7.988,8.024,8.289,8.393,8.514,8.737,8.857,9.056,9.174,9.548,9.93,10.304,10.699,11.254,11.391,11.689,11.77,11.981,12.603,12.714,12.859,12.946,13.033,13.085,13.162,13.238,13.719,13.88,14.487,14.92,15.076,15.174,15.56,15.747,15.96,16.02,16.125,16.168,16.198,16.327,16.457,16.564,16.623,16.669,16.877,16.995,17.052,17.172,17.328,17.712,17.822,18.311,18.468,19.334,19.7,19.873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.313,0.36,0.387,0.419,0.94,0.974,1.026,1.351,1.411,1.443,1.512,1.64,1.756,2.049,2.188,2.232,2.261,2.287,2.482,2.741,2.913,3.036,3.899,3.964,4.021,4.074,4.121,4.195,4.441,4.455,4.484,4.599,4.784,5.193,5.46,5.846,5.905,6.163,6.526,6.847,6.953,7.381,7.543,7.596,7.722,7.866,8.571,8.648,8.761,8.872,8.947,9.017,9.352,9.375,9.416,9.499,9.697,9.782,10.145,10.753,11.478,12.456,12.519,12.547,12.582,12.687,12.741,12.804,12.838,13.136,13.381,13.423,13.505,13.694,13.757,13.811,13.903,14.052,14.119,14.197,14.376,14.976,15.257,15.359,15.672,15.709,15.807,15.877,16.003,16.237,16.338,16.455,16.5,16.617,16.671,16.825,17.596,17.627,17.756,17.79,18.056,18.3,18.373,18.441,18.886,18.956,19.22,19.617,19.699,19.78,19.906,19.944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.079,0.331,0.738,0.804,0.891,1.114,1.176,1.199,1.531,1.876,2.296,2.31,2.51,3.361,4.13,4.524,4.579,4.795,4.836,4.881,5.043,5.15,5.259,5.322,5.369,5.444,5.502,5.531,5.585,5.866,5.977,6.11,6.176,6.27,6.448,6.522,7.281,7.623,7.66,7.69,8.049,8.387,8.549,8.711,8.843,9.09,9.161,9.434,9.749,9.79,9.873,10.802,11.206,11.521,11.806,11.882,12.241,12.49,12.706,12.992,13.049,13.204,13.888,14.299,15.277,15.445,15.626,16.153,16.183,16.277,16.602,16.634,16.943,17.021,17.111,17.212,17.601,17.895,18.026,18.056,18.127,18.272,18.421,19.743,19.807,19.962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.029,0.117,0.214,0.49,0.531,0.549,0.69,0.77,0.963,1.043,1.128,1.193,1.546,1.683,1.92,1.95,2.039,2.083,2.361,2.421,2.656,2.731,3.397,3.558,4.033,4.189,4.253,4.429,4.522,4.708,4.842,4.881,4.943,4.992,5.032,5.129,5.55,5.659,5.755,5.89,5.939,6.082,6.139,6.443,6.462,7.128,7.655,7.75,7.988,8.06,8.104,8.225,8.338,8.684,9.008,9.096,9.203,9.348,9.519,9.551,9.662,9.857,9.962,9.991,10.173,10.211,11.513,11.616,11.639,12.198,12.323,12.608,13.059,13.148,13.278,13.355,13.429,13.485,13.571,13.765,14.203,14.265,14.3,14.569,14.604,14.652,15.344,15.41,15.545,15.576,15.704,16.13,16.267,16.293,16.67,16.897,17.206,17.391,17.442,17.589,17.708,17.78,17.863,17.88,18.029,18.124,18.407,18.509,18.893,19.379,19.414,19.552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.055,0.124,0.321,0.395,0.724,0.78,0.944,0.982,1.086,1.36,1.438,1.474,1.629,2.245,2.302,3.308,3.621,4.09,4.2,4.675,5.048,5.165,5.32,5.55,5.69,5.725,5.783,5.828,5.995,6.376,6.673,6.958,7.396,8.263,8.463,8.521,8.549,8.894,8.998,9.15,9.227,9.449,9.479,9.695,9.855,9.907,9.932,10.156,10.495,10.526,10.547,10.57,10.623,10.791,10.823,10.984,11.07,11.659,11.691,11.918,11.983,12.046,12.201,12.271,12.292,12.395,12.475,12.838,13.028,13.307,13.345,13.473,13.564,13.697,13.724,13.897,14.024,14.132,14.286,14.338,14.396,14.779,14.803,14.991,15.463,15.585,15.615,15.782,15.874,16.137,16.295,16.33,16.361,16.48,16.561,16.644,17.176,17.427,17.858,18.095,18.207,18.327,19.229,19.881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.223,0.516,0.597,0.701,0.759,0.777,0.917,1.129,1.16,1.867,2.008,2.131,2.651,3.24,3.561,3.742,3.948,4.154,4.449,4.715,4.82,5.045,5.548,5.616,5.682,5.756,6.005,6.234,6.267,6.454,6.615,7.093,7.219,7.338,7.463,7.509,7.553,7.584,7.684,7.757,7.895,8.194,9.11,9.371,9.499,9.529,9.639,9.746,9.793,9.937,10.022,10.427,10.494,11.193,11.296,11.544,11.804,11.974,12.042,12.33,12.376,12.844,12.917,13.17,13.339,13.567,13.775,13.845,14.046,14.128,14.252,14.643,15.12,15.305,15.578,15.719,15.81,15.866,15.92,16.078,16.266,16.546,16.607,16.82,16.864,16.907,17.0,17.1,18.1,18.274,18.641,19.117,19.244,19.78,19.918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.117,0.378,0.431,0.938,1.025,1.148,1.554,1.612,1.662,1.767,1.826,1.934,2.15,2.227,3.101,3.494,3.665,3.898,4.006,4.04,4.298,4.421,4.487,4.944,5.103,5.304,5.334,5.377,5.505,5.595,5.758,5.785,5.982,6.551,6.818,6.865,6.925,7.355,7.751,7.861,8.202,8.345,8.378,8.52,8.796,8.905,9.086,9.181,9.201,9.511,9.877,10.114,10.728,10.941,11.027,11.448,11.974,12.176,12.251,12.346,12.979,13.012,13.033,13.143,13.214,13.303,13.386,13.525,13.743,13.857,13.901,14.042,14.246,14.488,14.61,14.654,14.925,15.061,15.205,15.345,15.497,15.524,15.579,15.796,15.833,15.868,16.318,16.434,16.573,16.691,16.715,17.019,17.141,17.469,17.482,17.586,17.648,18.149,18.853,18.976,19.498,19.634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178,0.237,0.412,0.482,0.572,0.76,1.151,1.417,1.515,1.589,1.919,2.122,2.202,2.256,2.363,2.755,3.477,3.787,3.862,3.992,4.035,4.471,4.567,4.656,4.69,4.869,4.916,5.027,5.216,5.317,5.394,5.483,5.547,5.712,5.993,6.064,6.082,6.288,6.756,6.889,6.943,7.315,7.713,8.564,8.807,8.867,9.027,9.099,9.219,9.309,9.458,9.66,9.875,10.29,10.938,10.996,11.533,11.755,12.074,12.117,12.227,12.505,12.69,12.712,12.74,12.777,12.84,12.866,12.963,13.205,13.251,13.583,13.771,13.896,13.959,14.336,14.433,14.863,15.631,15.726,16.229,16.273,16.446,16.747,16.835,17.07,17.281,17.374,17.445,17.555,17.616,17.755,19.436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.126,0.277,0.521,0.809,1.019,1.159,1.217,1.275,1.459,1.515,1.962,2.188,2.326,3.075,3.285,3.608,3.658,4.167,4.287,4.468,4.861,4.877,4.936,4.964,5.24,5.263,5.363,5.854,5.98,6.117,6.247,6.37,6.478,7.899,8.063,8.473,8.697,9.008,9.072,9.147,9.316,9.408,9.527,9.59,9.747,9.831,10.061,10.104,10.216,10.483,10.632,10.837,11.016,11.047,11.156,11.317,11.416,11.659,11.957,12.117,12.165,12.233,12.381,12.41,12.668,12.788,13.184,13.234,13.392,13.447,13.727,14.04,14.253,14.316,14.39,14.424,14.535,14.614,15.676,15.807,15.858,16.061,16.474,16.578,16.681,16.752,16.841,16.912,17.03,17.948,18.022,18.065,18.486,18.579,18.757,18.788,19.177,19.37,19.461,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.398,0.727,0.768,0.902,1.165,1.248,1.704,1.953,2.589,2.789,3.011,3.127,3.203,3.255,3.482,3.816,3.923,4.181,4.218,4.273,4.408,4.453,4.748,4.857,4.906,4.947,5.038,5.29,5.413,6.046,6.149,6.197,6.291,6.792,7.161,7.283,7.833,8.004,8.056,8.281,8.353,8.395,8.57,8.723,8.859,9.017,9.053,9.124,9.256,9.307,9.349,9.38,9.512,9.765,9.808,10.451,11.134,11.366,11.493,11.733,11.789,11.934,12.054,12.242,12.292,12.334,12.391,12.441,12.743,12.788,12.832,13.029,13.296,13.365,13.42,13.488,13.735,14.225,14.285,14.558,14.637,15.105,15.184,15.399,15.595,15.619,16.05,16.125,16.231,16.359,16.495,16.536,16.84,16.91,16.954,17.101,17.123,17.356,17.537,17.718,17.754,18.045,18.125,18.293,18.488,18.779,19.143,19.315,19.41,19.523,19.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
