0.035,0.056,0.146,0.196,0.241,0.41,0.43,0.466,0.503,0.535,0.552,0.608,0.63,0.654,0.725,0.795,0.859,0.906,1.083,1.159,1.226,1.252,1.298,1.367,1.407,1.461,1.516,1.57,1.619,1.639,1.69,1.747,1.771,1.796,1.876,1.927,1.965,2.091,2.189,2.212,2.254,2.311,2.374,2.388,2.476,2.529,2.604,2.666,3.413,3.448,3.473,3.495,3.518,3.586,3.668,3.716,3.826,3.937,4.113,4.148,4.177,4.246,4.311,4.349,4.384,4.431,4.476,4.617,4.658,4.697,4.738,4.81,4.887,4.929,4.956,5.025,5.054,5.075,5.202,5.24,5.257,5.295,5.336,5.417,5.457,5.522,5.557,5.829,5.903,5.945,5.971,6.078,6.255,6.286,6.313,6.35,6.469,6.867,6.894,7.02,7.08,7.156,7.202,7.28,7.304,7.322,7.417,7.461,7.557,7.592,7.604,7.63,7.742,7.805,7.834,7.955,8.055,8.122,8.153,8.223,8.267,8.391,8.474,8.497,8.511,8.55,8.593,8.679,8.743,8.809,8.903,8.96,9.0,9.048,9.109,9.221,9.31,9.337,9.365,9.401,9.442,9.465,9.586,9.61,9.638,9.703,9.718,9.77,9.807,9.839,9.869,9.895,9.969,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.036,0.09,0.179,0.204,0.349,0.459,0.545,0.637,0.657,0.735,0.849,0.929,1.033,1.073,1.191,1.341,1.385,1.417,1.456,1.491,1.534,1.587,1.627,1.701,1.768,1.84,1.884,1.962,2.044,2.065,2.203,2.23,2.264,2.306,2.429,2.529,2.598,2.908,2.955,3.002,3.094,3.13,3.157,3.257,3.392,3.445,3.474,3.658,3.789,3.816,3.98,4.135,4.376,4.461,4.632,4.709,4.814,4.906,5.028,5.157,5.181,5.236,5.449,5.475,5.509,5.677,5.723,5.739,5.767,5.827,6.11,6.156,6.192,6.253,6.358,6.433,6.514,6.552,6.635,6.737,6.752,6.823,6.854,7.131,7.166,7.254,7.336,7.454,7.593,7.776,7.83,7.855,7.914,7.966,8.05,8.082,8.152,8.29,8.32,8.376,8.445,8.479,8.511,8.549,8.584,8.603,8.686,8.71,8.741,8.781,8.853,8.879,8.928,8.954,9.002,9.03,9.083,9.167,9.255,9.325,9.351,9.401,9.444,9.468,9.527,9.657,9.764,9.844,9.914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.037,0.088,0.26,0.364,0.398,0.445,0.485,0.576,0.646,0.823,0.872,0.938,1.046,1.104,1.227,1.249,1.274,1.362,1.615,1.646,1.686,1.753,1.773,1.817,1.919,1.983,2.016,2.116,2.259,2.304,2.328,2.443,2.463,2.518,2.654,2.719,2.91,3.17,3.204,3.27,3.552,3.674,3.748,3.878,3.917,3.978,4.054,4.095,4.144,4.184,4.204,4.24,4.352,4.426,4.447,4.556,4.615,4.678,4.717,4.757,4.785,4.827,4.864,5.073,5.191,5.209,5.279,5.447,5.491,5.527,5.633,5.8,5.828,5.86,5.88,5.912,5.953,6.102,6.126,6.265,6.355,6.381,6.431,6.49,6.568,6.704,6.762,6.979,7.068,7.238,7.351,7.468,7.534,7.614,7.706,7.743,7.929,7.959,8.014,8.133,8.193,8.231,8.302,8.431,8.459,8.538,8.717,8.78,8.842,8.904,8.988,9.095,9.172,9.23,9.26,9.283,9.466,9.517,9.586,9.67,9.887,9.924,9.969,9.988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.101,0.12,0.145,0.175,0.318,0.429,0.468,0.553,0.582,0.669,0.772,0.798,0.916,0.992,1.094,1.154,1.25,1.321,1.456,1.472,1.491,1.595,1.649,1.89,1.957,2.308,2.345,2.379,2.631,2.722,2.79,2.929,2.988,3.065,3.133,3.225,3.269,3.295,3.639,3.715,3.82,3.922,4.004,4.068,4.181,4.204,4.26,4.29,4.387,4.481,4.522,4.539,4.72,4.739,4.776,4.829,4.862,4.913,4.942,5.006,5.024,5.124,5.161,5.203,5.236,5.278,5.302,5.337,5.399,5.447,5.556,5.637,5.716,5.745,5.773,5.941,6.112,6.196,6.267,6.289,6.487,6.513,6.548,6.59,6.694,6.85,6.954,7.089,7.234,7.262,7.411,7.438,7.933,7.972,8.054,8.099,8.291,8.309,8.348,8.442,8.525,8.574,8.723,8.757,8.783,8.806,8.842,8.923,8.971,9.009,9.024,9.127,9.227,9.286,9.362,9.391,9.436,9.48,9.505,9.542,9.63,9.663,9.689,9.899,9.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.12,0.206,0.246,0.27,0.489,0.51,0.524,0.572,0.628,0.666,0.697,0.76,0.812,0.836,0.876,0.939,0.987,1.025,1.062,1.08,1.108,1.141,1.25,1.361,1.386,1.41,1.472,1.51,1.565,1.63,1.659,1.748,1.873,1.979,1.998,2.037,2.1,2.184,2.328,2.415,2.444,2.506,2.562,2.615,2.695,2.773,2.832,2.863,3.095,3.113,3.164,3.258,3.453,3.514,3.635,3.69,3.78,4.008,4.103,4.231,4.287,4.496,4.595,4.609,4.696,4.859,4.899,4.936,4.994,5.014,5.074,5.117,5.202,5.24,5.289,5.385,5.416,5.498,5.553,5.613,5.703,5.737,5.858,5.952,6.008,6.11,6.144,6.177,6.191,6.254,6.305,6.321,6.424,6.508,6.546,6.654,6.706,6.811,6.867,6.901,6.96,6.997,7.135,7.194,7.282,7.304,7.362,7.436,7.471,7.536,7.619,7.636,7.682,7.744,7.782,7.867,7.901,7.939,7.99,8.048,8.135,8.181,8.208,8.337,8.369,8.422,8.443,8.49,8.525,8.579,8.642,8.664,8.692,8.901,8.952,9.049,9.177,9.211,9.271,9.349,9.376,9.436,9.491,9.629,9.687,9.814,9.87,9.902,9.921,9.941,9.962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.164,0.193,0.248,0.291,0.323,0.356,0.414,0.494,0.526,0.663,0.699,0.802,0.874,0.905,1.024,1.206,1.264,1.303,1.375,1.401,1.411,1.456,1.498,1.566,1.596,1.697,1.732,1.802,1.829,1.859,1.984,2.102,2.135,2.159,2.391,2.458,2.499,2.518,2.545,2.586,2.934,3.044,3.096,3.224,3.417,3.463,3.579,3.644,3.8,3.842,3.868,4.015,4.033,4.142,4.197,4.236,4.419,4.439,4.529,4.562,4.643,4.673,4.719,4.74,4.839,4.94,5.011,5.15,5.246,5.3,5.445,5.483,5.53,5.57,5.696,5.8,5.998,6.084,6.112,6.185,6.222,6.284,6.414,6.457,6.522,6.586,6.844,6.888,6.933,7.143,7.19,7.207,7.367,7.513,7.566,7.599,7.653,7.739,7.755,7.874,7.928,7.957,7.997,8.028,8.048,8.099,8.151,8.192,8.237,8.281,8.335,8.421,8.492,8.535,8.565,8.601,8.65,8.725,8.803,8.904,8.984,9.002,9.028,9.057,9.125,9.192,9.233,9.271,9.343,9.369,9.405,9.455,9.497,9.592,9.623,9.669,9.75,9.898,9.936,9.996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.086,0.149,0.229,0.34,0.38,0.451,0.537,0.605,0.644,0.661,0.698,0.726,0.78,0.903,0.977,1.007,1.037,1.085,1.148,1.195,1.263,1.295,1.51,1.617,1.668,1.741,1.888,1.909,2.08,2.17,2.192,2.395,2.42,2.598,2.646,2.701,2.761,2.828,2.949,3.005,3.114,3.181,3.328,3.379,3.541,3.608,3.753,3.841,4.087,4.16,4.205,4.252,4.326,4.356,4.403,4.466,4.501,4.608,4.638,4.685,4.762,4.84,4.871,4.969,4.989,5.009,5.146,5.175,5.19,5.203,5.233,5.317,5.379,5.491,5.535,5.59,5.617,5.668,5.711,5.766,5.996,6.071,6.133,6.213,6.263,6.323,6.358,6.395,6.436,6.478,6.51,6.562,6.653,6.768,6.779,6.842,6.96,7.029,7.163,7.25,7.341,7.379,7.469,7.513,7.612,7.748,7.803,7.918,7.964,8.11,8.174,8.208,8.252,8.407,8.471,8.568,8.63,8.693,8.731,8.801,8.944,8.987,9.053,9.112,9.148,9.178,9.208,9.242,9.284,9.321,9.371,9.419,9.537,9.605,9.635,9.658,9.89,9.942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.045,0.06,0.096,0.138,0.204,0.255,0.273,0.3,0.367,0.468,0.598,0.718,0.811,0.881,0.938,1.097,1.132,1.174,1.255,1.283,1.301,1.331,1.38,1.401,1.452,1.467,1.514,1.559,1.583,1.627,1.652,1.696,1.791,1.812,1.866,1.953,2.018,2.151,2.206,2.231,2.283,2.335,2.379,2.483,2.53,2.624,2.729,2.898,2.929,3.019,3.102,3.262,3.289,3.531,3.605,3.661,3.697,3.757,3.892,3.957,4.02,4.07,4.089,4.198,4.233,4.303,4.348,4.374,4.474,4.492,4.56,4.637,4.67,4.708,4.874,4.984,5.027,5.097,5.156,5.223,5.314,5.396,5.445,5.466,5.49,5.542,5.554,5.578,5.626,5.717,5.747,5.813,5.939,6.024,6.066,6.098,6.132,6.34,6.422,6.448,6.507,6.572,6.619,6.701,6.759,6.786,6.949,7.1,7.179,7.241,7.275,7.348,7.372,7.433,7.507,7.536,7.573,7.657,7.794,7.82,7.847,7.955,8.03,8.05,8.155,8.296,8.385,8.428,8.487,8.593,8.712,8.811,8.867,8.904,8.971,9.014,9.045,9.151,9.188,9.244,9.26,9.277,9.315,9.345,9.389,9.432,9.495,9.545,9.57,9.59,9.662,9.736,9.844,9.863,nan,nan,nan,nan,nan,nan,nan,nan
0.157,0.216,0.292,0.349,0.404,0.446,0.491,0.54,0.592,0.64,0.667,0.698,0.73,0.828,0.9,0.929,0.95,1.039,1.052,1.131,1.195,1.234,1.262,1.303,1.489,1.526,1.548,1.599,1.661,1.75,1.78,1.894,1.928,2.01,2.181,2.215,2.25,2.279,2.304,2.452,2.492,2.666,2.699,3.036,3.069,3.166,3.199,3.275,3.362,3.385,3.507,3.546,3.556,3.723,3.869,4.185,4.228,4.325,4.399,4.436,4.468,4.56,4.579,4.71,4.736,4.917,4.952,4.972,5.033,5.05,5.069,5.086,5.135,5.158,5.195,5.262,5.368,5.392,5.425,5.457,5.513,5.613,5.64,5.679,5.739,5.844,5.885,5.934,5.989,6.073,6.101,6.151,6.2,6.318,6.365,6.503,6.527,6.631,6.88,6.967,6.985,7.092,7.18,7.398,7.472,7.589,7.636,7.665,7.684,7.765,7.837,7.939,7.997,8.025,8.092,8.128,8.171,8.283,8.402,8.449,8.481,8.551,8.57,8.602,8.63,8.695,8.757,8.799,8.919,8.943,8.982,9.01,9.051,9.072,9.091,9.126,9.184,9.257,9.369,9.404,9.456,9.493,9.521,9.545,9.647,9.673,9.762,9.883,9.954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07,0.195,0.324,0.362,0.449,0.594,0.613,0.7,0.761,0.786,0.813,0.864,0.91,0.945,0.987,1.04,1.061,1.115,1.178,1.201,1.266,1.308,1.341,1.39,1.406,1.546,1.624,1.702,1.734,1.755,1.817,1.886,1.942,2.018,2.048,2.133,2.285,2.324,2.436,2.693,2.825,2.978,3.0,3.044,3.135,3.279,3.327,3.449,3.469,3.499,3.553,3.681,3.724,3.75,3.827,3.869,3.977,4.017,4.284,4.318,4.348,4.386,4.441,4.514,4.657,4.811,4.878,4.907,4.94,5.017,5.093,5.169,5.194,5.214,5.246,5.277,5.355,5.49,5.627,5.681,5.731,5.792,5.816,5.951,6.048,6.08,6.196,6.231,6.399,6.416,6.507,6.603,6.71,6.851,6.863,7.0,7.043,7.307,7.363,7.443,7.57,7.748,7.77,7.811,7.849,7.978,8.232,8.304,8.372,8.431,8.45,8.48,8.526,8.556,8.599,8.643,8.74,8.808,8.848,8.872,9.036,9.062,9.095,9.122,9.145,9.203,9.252,9.269,9.34,9.399,9.416,9.443,9.547,9.57,9.593,9.653,9.727,9.773,9.882,9.934,9.981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
