0.124,0.169,0.196,0.247,0.294,0.358,0.415,0.458,0.479,0.536,0.553,0.569,0.649,0.7,0.75,0.804,0.843,0.899,0.925,1.03,1.046,1.102,1.166,1.247,1.286,1.382,1.41,1.425,1.558,1.659,1.735,1.841,1.892,1.962,2.053,2.183,2.219,2.456,2.49,2.514,2.6,2.677,2.734,2.757,2.795,3.015,3.165,3.273,3.335,3.396,3.469,3.532,3.572,3.617,3.643,3.699,3.743,3.761,3.819,3.921,3.957,4.016,4.033,4.061,4.195,4.249,4.265,4.333,4.349,4.373,4.398,4.491,4.568,4.604,4.644,4.76,4.79,4.877,4.936,4.985,5.046,5.092,5.161,5.214,5.251,5.301,5.331,5.463,5.493,5.594,5.62,5.675,5.7,5.72,5.799,5.817,5.882,5.924,6.058,6.123,6.309,6.33,6.368,6.437,6.526,6.62,6.661,6.69,6.971,7.163,7.213,7.334,7.441,7.461,7.505,7.628,7.694,7.958,8.011,8.046,8.122,8.136,8.215,8.271,8.424,8.447,8.515,8.587,8.607,8.703,8.753,8.768,8.788,8.82,8.853,8.872,8.926,8.964,8.999,9.049,9.114,9.17,9.224,9.256,9.273,9.325,9.454,9.491,9.581,9.595,9.71,9.77,9.802,9.837,9.91,9.98,nan,nan,nan,nan
0.041,0.115,0.165,0.204,0.323,0.414,0.469,0.498,0.529,0.569,0.629,0.671,0.719,0.817,1.215,1.331,1.397,1.457,1.485,1.568,1.655,1.732,1.764,1.814,2.005,2.069,2.107,2.163,2.208,2.308,2.323,2.43,2.523,2.619,2.667,2.739,2.793,2.815,2.994,3.165,3.196,3.3,3.395,3.518,3.547,3.595,3.639,3.696,3.749,3.79,3.817,3.956,3.985,4.042,4.124,4.149,4.202,4.26,4.296,4.321,4.347,4.367,4.43,4.46,4.536,4.664,4.693,4.798,5.113,5.163,5.199,5.275,5.339,5.373,5.389,5.49,5.541,5.576,5.601,5.686,5.755,5.82,5.935,5.988,6.088,6.137,6.239,6.316,6.37,6.392,6.501,6.636,6.688,6.858,6.953,7.151,7.307,7.326,7.38,7.55,7.856,7.892,7.936,8.068,8.117,8.152,8.234,8.303,8.337,8.408,8.428,8.45,8.493,8.53,8.556,8.613,8.631,8.758,8.784,8.892,8.967,9.001,9.127,9.161,9.21,9.238,9.265,9.289,9.355,9.385,9.438,9.47,9.677,9.722,9.738,9.771,9.844,9.865,9.901,9.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.025,0.151,0.182,0.214,0.331,0.354,0.379,0.417,0.463,0.543,0.585,0.716,0.798,0.85,0.879,0.915,0.94,1.009,1.035,1.079,1.116,1.231,1.266,1.306,1.353,1.422,1.465,1.523,1.549,1.577,1.685,1.721,1.81,1.989,2.116,2.15,2.35,2.387,2.425,2.452,2.472,2.575,2.613,2.882,3.122,3.141,3.163,3.268,3.398,3.441,3.59,3.646,3.747,3.813,3.868,3.894,3.946,4.003,4.133,4.163,4.219,4.312,4.427,4.451,4.51,4.707,4.804,4.879,4.954,4.986,5.062,5.184,5.223,5.3,5.377,5.426,5.456,5.616,5.668,5.705,5.787,5.83,5.97,6.023,6.09,6.136,6.204,6.222,6.314,6.349,6.445,6.502,6.538,6.564,6.632,6.674,6.704,6.769,6.794,6.921,7.209,7.323,7.413,7.461,7.515,7.562,7.605,7.631,7.762,7.846,7.899,7.947,7.987,8.054,8.071,8.182,8.224,8.275,8.335,8.412,8.451,8.557,8.618,8.648,8.698,8.757,8.819,8.838,8.867,8.886,8.907,9.062,9.108,9.214,9.278,9.305,9.327,9.367,9.391,9.421,9.475,9.515,9.544,9.631,9.685,9.862,9.916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.067,0.142,0.186,0.225,0.31,0.348,0.376,0.47,0.54,0.648,0.7,0.774,0.851,0.895,0.958,1.008,1.068,1.161,1.188,1.323,1.471,1.538,1.591,1.631,1.702,1.804,1.972,2.039,2.104,2.142,2.218,2.348,2.374,2.439,2.458,2.533,2.617,2.754,2.821,2.842,3.006,3.094,3.176,3.232,3.485,3.527,3.562,3.59,3.658,3.698,3.766,3.834,3.862,3.888,3.917,4.027,4.059,4.116,4.151,4.184,4.215,4.234,4.284,4.313,4.345,4.426,4.507,4.561,4.584,4.623,4.667,4.685,4.699,4.73,4.798,4.881,4.95,5.02,5.132,5.148,5.168,5.308,5.355,5.39,5.43,5.446,5.473,5.528,5.56,5.617,5.643,5.677,5.776,5.853,5.871,5.917,6.006,6.038,6.247,6.283,6.503,6.709,6.811,6.848,7.117,7.156,7.303,7.458,7.568,7.704,7.753,7.805,7.839,7.901,7.963,8.012,8.056,8.136,8.179,8.225,8.257,8.351,8.368,8.567,8.631,8.82,8.962,9.023,9.076,9.118,9.142,9.163,9.176,9.286,9.319,9.341,9.452,9.483,9.544,9.596,9.652,9.719,9.853,9.915,9.944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.173,0.201,0.248,0.293,0.344,0.385,0.428,0.463,0.654,0.677,0.705,0.88,0.968,0.993,1.043,1.311,1.408,1.566,1.619,1.646,1.716,1.763,1.823,1.937,2.071,2.147,2.27,2.318,2.34,2.368,2.435,2.496,2.722,2.756,2.812,2.934,3.041,3.075,3.179,3.279,3.387,3.481,3.565,3.578,3.598,3.736,3.759,3.859,3.908,3.982,4.041,4.073,4.105,4.135,4.161,4.191,4.235,4.292,4.328,4.368,4.385,4.422,4.467,4.506,4.535,4.605,4.683,4.726,4.79,4.891,4.928,4.962,5.004,5.024,5.066,5.099,5.13,5.152,5.227,5.268,5.34,5.373,5.429,5.481,5.521,5.55,5.584,5.751,5.768,5.797,5.828,5.925,5.967,6.026,6.201,6.377,6.47,6.557,6.637,6.655,6.793,6.816,6.959,7.043,7.086,7.274,7.329,7.469,7.515,7.545,7.594,7.631,7.794,7.873,8.014,8.048,8.133,8.152,8.188,8.262,8.303,8.462,8.563,8.588,8.67,8.736,8.765,8.807,8.928,8.986,9.06,9.087,9.135,9.168,9.224,9.252,9.33,9.446,9.494,9.562,9.64,9.68,9.708,9.774,9.853,9.871,9.915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.023,0.101,0.124,0.217,0.269,0.303,0.371,0.396,0.47,0.542,0.607,0.636,0.718,0.737,0.76,0.888,0.908,1.014,1.03,1.075,1.141,1.323,1.471,1.508,1.582,1.876,1.939,1.971,2.003,2.077,2.087,2.176,2.239,2.307,2.4,2.516,2.667,2.716,2.757,2.832,2.865,2.897,2.961,3.122,3.221,3.262,3.299,3.353,3.39,3.477,3.507,3.73,3.785,3.819,3.97,4.004,4.121,4.233,4.352,4.436,4.454,4.508,4.6,4.665,4.688,4.745,4.779,4.798,4.852,4.875,4.889,5.023,5.11,5.184,5.206,5.267,5.324,5.375,5.413,5.439,5.476,5.549,5.578,5.698,5.829,5.854,5.929,6.057,6.075,6.164,6.21,6.264,6.433,6.507,6.553,6.691,6.722,6.778,6.986,7.069,7.089,7.328,7.453,7.704,7.78,7.967,8.007,8.06,8.093,8.202,8.23,8.329,8.408,8.459,8.483,8.594,8.669,8.684,8.7,8.765,8.785,8.92,8.95,9.02,9.131,9.164,9.206,9.282,9.298,9.329,9.381,9.428,9.463,9.485,9.548,9.609,9.643,9.68,9.726,9.777,9.876,9.948,9.975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.228,0.329,0.361,0.41,0.471,0.541,0.579,0.681,0.707,0.79,0.843,0.891,0.956,0.981,1.015,1.087,1.194,1.24,1.314,1.373,1.46,1.502,1.551,1.664,1.698,1.803,1.813,1.88,2.075,2.121,2.167,2.282,2.332,2.518,2.573,2.637,2.768,2.829,2.847,2.888,2.909,2.999,3.025,3.208,3.241,3.275,3.362,3.417,3.499,3.552,3.627,3.73,3.768,3.949,4.075,4.098,4.136,4.195,4.213,4.232,4.256,4.288,4.392,4.516,4.533,4.564,4.609,4.654,4.786,4.833,4.845,4.925,5.044,5.075,5.098,5.156,5.179,5.229,5.317,5.414,5.438,5.467,5.505,5.528,5.563,5.645,5.673,5.78,5.816,5.931,5.952,5.978,6.0,6.044,6.11,6.206,6.322,6.366,6.441,6.496,6.548,6.592,6.663,6.807,6.842,6.885,7.257,7.419,7.633,7.666,7.733,7.824,7.867,7.939,8.0,8.108,8.191,8.271,8.324,8.354,8.392,8.427,8.457,8.674,8.701,8.836,8.957,9.049,9.086,9.117,9.272,9.317,9.388,9.45,9.512,9.547,9.622,9.74,9.866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.072,0.09,0.211,0.236,0.314,0.406,0.453,0.522,0.559,0.576,0.642,0.667,0.709,0.738,0.781,0.918,0.981,1.016,1.035,1.104,1.132,1.153,1.186,1.213,1.236,1.264,1.304,1.339,1.393,1.548,1.624,1.651,1.705,1.739,1.864,2.002,2.065,2.154,2.175,2.314,2.362,2.494,2.556,2.585,2.66,2.754,2.774,2.872,2.904,3.054,3.247,3.42,3.46,3.508,3.577,3.65,3.671,3.777,3.811,3.846,3.998,4.032,4.075,4.219,4.282,4.317,4.358,4.382,4.434,4.446,4.557,4.596,4.644,4.687,4.764,4.806,4.837,5.004,5.028,5.085,5.159,5.191,5.214,5.238,5.371,5.406,5.449,5.474,5.526,5.552,5.591,5.618,5.702,5.985,6.081,6.108,6.173,6.235,6.453,6.497,6.579,6.639,6.696,6.751,6.856,7.166,7.448,7.523,7.696,7.738,7.866,7.927,7.96,8.017,8.182,8.247,8.276,8.309,8.507,8.54,8.598,8.691,8.744,8.787,8.813,8.876,8.904,9.004,9.026,9.108,9.256,9.317,9.394,9.417,9.474,9.523,9.561,9.631,9.681,9.746,9.829,9.884,9.966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.035,0.115,0.142,0.261,0.319,0.344,0.402,0.425,0.473,0.558,0.703,0.807,0.857,0.932,0.949,0.976,1.005,1.108,1.152,1.174,1.213,1.432,1.639,1.689,1.743,1.799,1.823,1.845,1.87,2.022,2.095,2.24,2.325,2.374,2.418,2.474,2.534,2.591,2.726,3.245,3.281,3.317,3.354,3.47,3.531,3.556,3.708,3.776,3.857,3.868,4.051,4.115,4.166,4.192,4.227,4.267,4.353,4.372,4.462,4.489,4.522,4.538,4.598,4.619,4.66,4.828,4.871,4.893,4.93,5.016,5.045,5.072,5.114,5.149,5.164,5.207,5.286,5.314,5.35,5.396,5.546,5.596,5.641,5.676,5.72,5.799,5.954,5.985,6.059,6.085,6.144,6.168,6.221,6.263,6.306,6.346,6.377,6.417,6.599,6.636,6.696,6.777,6.851,7.056,7.233,7.374,7.452,7.481,7.611,7.639,7.672,7.711,7.738,7.796,7.842,7.897,8.021,8.066,8.105,8.193,8.242,8.307,8.359,8.417,8.598,8.675,8.739,8.763,8.781,8.846,8.874,8.913,9.025,9.074,9.114,9.146,9.165,9.244,9.279,9.374,9.506,9.548,9.582,9.607,9.647,9.659,9.689,9.712,9.892,9.954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039,0.25,0.332,0.446,0.508,0.541,0.565,0.595,0.655,0.75,0.774,0.837,0.892,0.953,0.98,0.998,1.14,1.208,1.227,1.309,1.322,1.417,1.446,1.47,1.499,1.529,1.552,1.69,1.724,1.749,1.801,2.047,2.116,2.158,2.194,2.333,2.477,2.533,2.61,2.721,2.751,2.857,2.938,3.024,3.252,3.419,3.453,3.523,3.543,3.573,3.613,3.762,3.926,4.0,4.018,4.057,4.135,4.278,4.321,4.56,4.62,4.696,4.78,4.81,4.941,4.971,4.989,5.088,5.108,5.213,5.3,5.418,5.452,5.481,5.517,5.594,5.613,5.698,5.723,5.797,6.156,6.201,6.317,6.372,6.435,6.51,6.643,6.698,6.758,6.857,6.976,7.008,7.093,7.127,7.173,7.268,7.283,7.31,7.44,7.474,7.502,7.531,7.635,7.778,7.829,7.869,8.001,8.072,8.14,8.188,8.379,8.412,8.579,8.642,8.746,8.774,8.819,9.206,9.265,9.365,9.426,9.499,9.662,9.806,9.826,9.917,9.945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
