0.09,0.306,0.319,0.381,0.495,0.646,0.732,0.802,0.872,0.976,1.063,1.136,1.155,1.452,1.5,1.985,2.005,2.107,2.381,2.499,2.689,2.883,3.113,3.203,3.484,3.955,4.282,4.496,4.628,4.92,4.948,5.351,5.435,5.897,6.004,6.252,6.724,7.064,7.138,7.277,7.54,7.632,7.852,7.988,8.081,8.229,8.353,8.784,8.918,9.003,9.099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.075,0.131,0.269,0.327,0.439,0.471,0.574,0.606,0.651,0.951,1.024,1.161,1.191,1.272,1.41,1.46,1.493,1.524,1.584,1.875,2.006,2.043,2.357,2.432,2.91,2.976,3.301,3.418,3.533,3.864,4.017,4.041,4.224,4.323,4.407,4.528,4.598,4.706,4.786,4.819,5.025,5.201,5.265,5.465,5.598,5.738,6.058,6.253,6.306,7.538,7.624,7.972,8.177,8.205,8.307,8.563,8.735,8.763,9.1,9.232,9.421,9.456,9.575,9.675,nan,nan,nan,nan,nan,nan,nan,nan
0.128,0.697,0.934,0.979,1.092,1.155,1.185,1.365,1.384,1.478,1.496,1.664,1.764,1.801,2.116,2.189,2.338,2.706,3.362,3.417,3.553,4.001,4.425,4.525,4.947,5.01,5.293,5.445,5.53,5.568,5.599,5.712,5.792,5.823,5.925,6.006,6.612,6.768,7.075,7.184,7.493,7.779,7.868,7.978,8.048,8.11,8.229,8.371,8.442,8.601,8.921,8.979,9.077,9.442,9.597,9.881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.09,0.191,0.323,0.558,1.167,1.358,1.933,2.036,2.088,2.183,2.435,2.472,2.729,2.904,2.982,3.903,4.17,4.234,4.402,4.564,4.639,5.129,5.15,5.466,5.533,5.638,5.896,6.01,6.173,6.327,6.389,6.649,6.76,7.106,7.23,7.473,7.819,8.05,8.202,8.324,8.435,8.592,8.765,8.794,9.164,9.296,9.351,9.397,9.45,9.54,9.675,9.84,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.045,0.134,0.33,0.555,0.638,0.674,0.715,1.217,1.522,1.61,1.723,1.779,1.844,1.934,1.994,2.355,2.397,2.815,3.212,3.457,3.681,3.96,4.017,4.054,4.133,4.209,4.414,4.522,4.969,5.059,5.162,5.429,5.676,5.864,6.368,6.776,6.803,6.947,6.992,7.25,7.832,8.066,8.298,8.347,8.445,8.581,8.72,8.829,8.983,9.141,9.172,9.258,9.34,9.412,9.633,9.777,9.838,9.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.865,0.911,1.022,1.087,1.168,1.291,1.332,1.387,1.453,1.55,1.588,1.794,1.926,2.133,2.347,2.429,2.596,2.636,2.678,2.921,3.423,3.654,4.088,4.342,4.466,4.49,4.641,4.779,4.895,4.919,4.97,5.336,5.352,5.47,5.517,5.575,5.677,6.167,6.63,6.858,6.917,7.062,7.486,7.627,7.663,7.853,7.882,8.214,8.468,8.513,8.651,8.738,8.823,8.882,9.419,9.579,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.069,0.123,0.518,0.558,0.672,0.799,0.857,0.973,1.148,1.319,1.876,2.307,2.756,3.209,3.333,3.883,4.238,4.322,4.397,4.679,4.779,4.86,4.944,5.182,5.242,5.331,6.833,7.031,7.576,7.628,7.934,8.434,8.508,8.634,8.7,8.78,9.145,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.044,0.098,0.354,0.469,0.624,0.688,0.75,0.815,0.923,1.295,1.435,1.622,1.915,2.191,2.458,2.66,2.834,3.405,3.599,3.642,3.724,3.782,4.106,4.259,4.567,4.874,4.941,5.125,5.198,5.28,5.403,5.459,5.549,5.697,5.721,5.764,5.898,6.159,6.271,6.411,7.007,7.132,7.441,7.525,7.549,7.827,7.875,7.982,8.057,8.412,8.59,9.32,9.358,9.659,9.776,9.886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.086,0.677,0.902,1.059,1.134,1.363,1.464,1.541,1.69,1.802,2.156,2.255,2.3,2.77,3.075,3.097,4.045,4.299,4.407,4.681,4.706,4.876,5.158,5.688,6.076,6.204,6.3,6.54,6.57,6.637,6.928,7.355,7.521,7.783,8.025,8.645,9.117,9.173,9.218,9.249,9.395,9.488,9.527,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054,0.147,0.349,0.435,0.483,0.504,0.625,0.936,0.99,1.081,1.205,1.218,1.236,1.291,1.719,1.9,1.979,2.103,2.2,2.41,2.493,2.53,3.198,3.235,3.589,3.782,4.016,4.164,4.258,4.278,4.437,4.507,4.541,4.627,4.713,4.752,4.972,5.123,5.205,5.309,5.45,5.605,5.652,5.772,6.203,6.967,7.908,8.418,8.64,8.965,9.007,9.088,9.319,9.349,9.993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
