0.161,0.512,0.544,0.966,1.016,1.163,1.323,1.493,1.709,2.03,2.111,2.193,2.274,2.338,3.201,3.403,3.461,3.85,3.998,4.066,4.517,4.543,4.738,4.85,5.052,5.343,5.624,5.689,5.767,5.855,6.117,6.272,6.622,6.773,7.008,7.603,7.636,7.773,8.032,8.237,8.28,8.411,8.643,8.72,8.976,9.205,9.489,9.536,9.727,10.262,10.431,10.735,11.044,11.133,11.169,11.258,11.438,11.624,11.663,11.803,11.898,12.396,12.957,13.052,13.558,13.712,13.779,13.817,13.962,14.116,14.169,14.284,14.907,14.967,15.119,15.356,16.145,16.347,16.411,16.604,16.658,16.748,17.02,17.215,17.489,17.794,18.034,18.165,18.205,18.633,18.69,18.738,18.915,19.502,19.839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.107,0.675,0.753,0.867,0.992,1.596,1.646,1.702,1.937,2.421,2.653,2.816,2.912,3.058,3.157,3.22,3.373,3.412,3.726,4.004,4.401,4.6,4.726,4.869,4.899,5.018,5.125,5.304,5.7,5.994,6.199,6.444,6.53,6.754,7.027,7.371,7.542,7.683,7.723,7.994,8.033,8.537,9.147,9.514,9.966,10.076,10.11,10.151,10.246,10.441,10.588,10.732,10.822,11.021,11.074,11.299,11.584,11.667,11.963,12.49,12.699,13.341,13.374,13.654,13.763,13.857,14.181,14.239,14.366,14.546,14.629,14.851,14.884,15.059,15.226,15.293,15.325,15.351,15.381,16.208,16.248,16.339,16.429,16.472,16.533,16.656,16.748,16.891,16.991,17.32,17.457,17.598,17.634,17.725,18.005,18.19,18.242,18.272,18.441,18.525,18.647,18.726,18.794,18.855,19.398,19.586,19.762,19.806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.274,0.419,0.508,0.598,0.664,0.985,1.189,1.282,1.888,1.974,2.02,2.122,2.256,2.322,2.596,2.696,2.753,2.885,2.956,3.005,3.379,3.445,3.473,3.556,3.934,4.201,4.489,4.593,4.636,4.745,4.838,4.986,5.3,5.363,5.498,5.544,5.567,5.85,6.676,6.764,6.979,7.05,7.077,7.228,7.27,7.414,7.555,7.651,7.769,7.95,8.497,8.813,8.977,9.038,9.353,9.598,9.673,10.221,10.252,10.465,10.545,10.885,10.925,11.023,11.256,11.288,11.81,12.044,12.137,12.454,12.675,12.952,13.125,13.71,13.802,14.05,14.073,14.106,14.144,14.355,14.461,14.557,14.664,14.85,14.898,14.97,15.517,15.647,15.704,16.363,16.422,16.829,16.897,17.11,17.154,17.392,17.46,17.491,17.678,17.813,17.85,18.262,18.365,18.391,18.598,19.009,19.532,19.611,19.768,19.925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.132,0.215,0.32,0.354,0.399,0.576,0.735,1.069,1.231,1.417,1.772,2.028,2.261,2.669,2.817,2.868,3.273,3.407,3.494,3.658,3.796,3.997,4.134,4.314,4.339,4.361,4.629,4.716,4.901,4.936,5.357,5.423,5.605,5.638,5.674,5.945,6.135,6.25,6.302,6.344,6.459,6.542,6.58,6.845,6.88,7.073,7.131,7.219,7.284,7.38,7.479,7.595,7.81,7.896,8.022,8.133,8.249,8.524,8.544,8.583,8.645,8.723,8.772,8.927,9.019,9.084,9.235,9.47,9.847,9.893,10.266,10.42,10.807,10.986,11.005,11.447,11.526,11.572,11.603,11.876,12.04,12.163,12.243,12.456,12.804,12.973,13.742,13.975,14.29,14.455,14.496,14.73,14.943,15.173,15.832,15.871,16.0,16.216,16.257,16.31,16.417,16.877,17.48,17.58,17.731,17.919,17.963,18.083,18.158,18.317,18.646,18.891,18.941,19.045,19.136,19.185,19.407,19.506,19.695,19.949,nan,nan,nan
0.064,0.152,0.297,0.539,0.632,0.765,1.103,1.347,1.436,1.487,1.521,1.624,2.245,2.376,2.45,2.61,2.911,3.162,3.214,3.364,3.394,3.434,3.571,4.286,4.607,4.685,4.799,5.008,5.334,5.678,5.731,5.805,6.447,6.801,6.876,7.244,7.32,7.611,8.48,8.911,8.973,9.163,9.409,9.624,9.798,10.243,10.33,10.549,10.748,10.907,11.135,11.214,11.371,11.676,11.749,11.817,12.413,12.457,12.568,12.715,12.762,12.968,13.01,13.077,13.162,13.195,13.514,13.665,13.696,13.765,13.799,14.015,14.085,14.349,14.557,14.707,14.769,14.8,14.928,15.1,15.249,15.572,17.0,17.134,17.566,17.688,17.746,17.791,17.891,19.304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.05,0.372,0.45,0.964,1.195,1.259,1.531,1.801,1.83,1.975,2.014,2.162,2.375,2.888,3.032,3.247,3.281,3.621,3.685,3.804,3.841,4.086,4.179,4.309,4.603,4.713,4.826,4.952,5.894,6.156,6.254,6.338,6.455,6.601,6.664,6.788,7.889,8.077,8.293,8.954,9.007,9.16,9.218,9.562,9.821,10.51,10.876,11.015,11.228,11.261,11.3,11.331,11.799,12.174,12.358,12.706,12.764,12.815,12.992,13.036,13.355,13.417,13.469,13.597,13.829,14.691,14.751,14.92,15.172,15.37,15.479,15.523,15.573,15.74,15.901,16.244,16.539,16.623,16.772,16.828,16.952,17.116,17.177,17.465,17.688,17.734,17.841,17.874,17.932,18.019,18.054,18.12,18.152,18.234,18.368,18.396,18.472,18.824,19.311,19.706,19.738,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065,0.266,0.304,0.352,0.387,0.595,0.708,0.925,1.246,2.047,2.103,2.137,2.218,2.261,2.79,2.914,3.09,3.456,3.633,4.118,4.195,4.23,4.402,4.429,4.654,5.171,5.225,5.281,5.809,5.889,5.979,6.207,6.343,6.391,6.746,6.817,7.177,7.408,7.457,7.796,8.082,8.177,8.278,8.338,8.415,8.469,8.588,8.628,8.764,8.921,9.011,9.476,9.577,10.116,10.196,10.212,10.341,10.365,10.671,11.085,11.137,11.235,11.301,11.508,11.664,11.83,12.1,12.215,12.355,12.909,13.147,13.165,13.367,13.84,14.147,14.202,14.256,14.546,14.604,14.653,14.709,14.89,15.31,15.456,15.84,15.984,16.131,16.442,16.467,16.637,16.684,16.765,16.925,17.076,17.346,18.036,18.234,18.38,18.409,18.453,18.756,18.824,18.907,18.958,18.991,19.391,19.621,19.978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.135,0.726,0.817,1.193,1.358,1.463,1.503,2.406,2.536,2.846,3.42,3.454,3.695,3.742,4.135,4.361,4.806,5.12,5.214,5.243,5.977,6.131,6.441,6.524,6.643,6.771,6.997,7.08,7.147,7.237,7.346,7.511,8.574,8.711,9.104,9.307,9.735,9.778,9.913,10.112,10.266,10.679,10.82,10.904,11.192,11.293,11.449,12.424,12.555,13.514,13.736,13.784,13.811,14.227,14.268,14.627,14.82,14.843,14.966,15.002,15.184,15.241,15.367,15.397,15.462,15.548,15.599,15.651,15.691,15.838,15.892,16.232,16.254,16.29,16.442,16.643,16.755,17.252,17.859,18.061,18.355,18.62,18.751,19.029,19.139,19.243,19.488,19.878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15,0.507,0.62,0.722,1.115,1.879,2.157,2.256,2.419,2.686,2.801,3.025,3.283,3.334,3.42,3.494,3.56,3.627,3.697,3.729,4.012,4.175,4.253,5.052,5.206,5.353,5.494,6.012,6.374,6.612,6.872,7.1,7.174,7.203,7.366,7.544,8.13,8.399,8.456,8.513,8.55,9.816,9.869,10.131,10.922,11.464,11.6,11.644,12.207,12.521,12.734,12.861,12.91,13.081,13.38,13.606,13.774,13.825,14.201,14.282,14.402,14.456,14.532,14.562,14.601,15.039,15.155,15.302,15.357,15.515,15.661,15.767,15.849,16.085,16.111,16.366,16.723,16.819,16.86,16.922,16.984,17.02,17.256,17.525,17.61,17.649,18.232,18.361,18.726,18.875,18.948,19.129,19.221,19.295,19.358,19.401,19.498,19.536,19.56,19.614,19.651,19.828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054,0.295,0.398,0.443,0.853,1.24,1.422,1.618,1.683,1.747,2.024,2.272,2.507,2.798,2.922,3.246,3.357,3.736,3.898,4.077,4.275,4.405,4.681,4.725,4.829,4.888,5.067,5.084,5.154,6.094,6.28,6.529,6.633,6.745,6.967,7.156,7.297,7.564,7.645,7.832,7.944,7.977,8.04,8.312,8.634,8.715,8.784,8.943,9.003,9.049,9.126,9.574,9.655,9.689,9.883,10.182,10.219,10.355,10.412,10.694,10.974,11.327,11.403,12.015,12.571,12.774,12.878,13.668,13.701,13.906,13.938,14.003,14.236,14.279,14.418,14.436,14.603,14.699,14.825,14.993,15.158,15.344,15.973,16.097,16.34,16.415,16.447,16.556,16.646,16.804,16.972,17.057,17.234,17.467,17.573,17.706,17.947,18.405,18.467,18.499,18.578,18.712,18.79,19.082,19.206,19.248,19.376,19.585,19.731,19.897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
