0.037,0.15,0.211,0.425,0.478,0.537,0.678,1.192,1.334,1.558,1.666,1.831,1.933,1.984,2.152,2.458,2.556,2.687,3.517,3.579,3.62,3.811,3.857,4.267,4.312,4.371,4.51,4.605,5.028,5.1,5.174,5.401,6.003,6.086,6.176,6.472,7.093,7.83,7.86,8.317,8.517,8.647,8.74,8.767,8.858,9.186,9.326,9.506,9.599,9.627,9.754,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.568,0.964,1.468,1.509,1.543,1.834,1.955,2.036,2.138,2.519,2.691,3.024,3.108,3.562,3.934,4.312,4.611,5.354,5.407,5.623,5.908,5.963,6.363,6.569,6.859,7.372,7.495,7.848,8.09,8.12,8.803,8.839,8.886,9.09,9.153,9.179,9.351,9.479,9.567,9.854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.415,0.494,1.252,1.301,1.647,1.857,2.028,2.162,2.355,2.505,4.079,4.156,4.346,4.55,4.669,4.731,4.793,4.876,4.99,5.318,5.639,5.943,6.011,6.057,6.547,6.74,7.546,7.675,7.732,7.907,7.951,8.231,8.345,8.521,9.226,9.366,9.475,9.535,9.718,9.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.102,0.124,0.324,0.436,0.562,0.789,1.181,1.492,1.692,2.787,3.139,3.209,3.351,3.806,4.305,4.644,4.84,5.037,5.133,5.165,5.295,5.865,6.099,6.467,6.661,7.036,7.456,7.639,8.188,8.282,8.314,8.515,8.529,8.565,9.011,9.073,9.208,9.25,9.274,9.612,9.737,9.802,9.948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.128,0.254,0.527,0.58,0.653,0.689,0.719,0.842,1.098,1.419,1.562,1.621,1.69,1.809,2.062,2.101,2.272,2.403,2.872,3.196,3.226,3.626,3.812,4.134,4.754,4.85,5.006,5.061,5.149,5.185,5.552,5.729,5.781,5.874,6.367,6.5,6.866,6.937,7.088,7.426,7.539,7.602,7.738,7.872,7.994,8.193,8.245,8.303,8.425,8.6,8.644,8.759,8.806,8.941,9.184,9.484,9.738,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.328,0.363,0.902,1.053,1.293,1.407,1.438,1.533,1.602,1.737,1.776,1.885,2.03,2.182,2.447,2.586,2.651,3.311,3.502,3.787,3.966,4.13,4.244,4.299,4.548,4.641,4.861,5.088,5.138,5.582,5.62,5.711,5.948,6.247,6.453,6.63,7.023,7.404,7.718,7.856,7.942,8.157,8.207,8.239,8.368,8.504,8.648,8.773,9.157,9.277,9.388,9.544,9.77,9.869,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.234,0.388,0.466,0.62,0.659,0.715,0.798,0.923,0.996,1.027,1.108,1.172,1.22,1.289,1.78,1.928,2.251,2.477,2.784,3.191,3.412,4.274,4.441,4.476,4.52,4.734,4.763,4.81,4.888,4.999,5.108,5.126,5.328,5.346,5.528,5.744,5.933,6.387,6.464,6.578,6.714,6.977,7.555,8.2,8.464,8.666,9.268,9.383,9.42,9.508,9.609,9.896,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.048,0.145,0.212,0.281,0.912,1.151,1.336,1.353,1.425,1.498,1.569,1.636,1.935,2.223,3.031,3.963,4.655,4.839,5.207,5.273,5.332,5.399,5.578,5.629,5.768,6.028,6.557,6.739,6.842,6.986,7.335,7.431,7.701,8.048,8.081,8.322,8.751,9.0,9.188,9.263,9.466,9.56,9.63,9.707,9.86,9.908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.37,0.42,0.506,0.755,0.962,1.076,1.277,1.304,1.653,1.716,1.835,2.248,2.351,2.758,3.387,3.511,3.671,4.473,4.605,5.079,5.115,5.235,5.275,5.378,5.444,5.513,5.732,5.887,5.953,6.054,6.542,6.602,6.747,7.123,7.428,7.648,7.937,8.286,8.765,8.861,8.894,8.922,9.052,9.59,9.827,9.859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.199,0.342,0.62,0.732,0.837,0.952,1.017,1.089,1.217,1.348,1.381,1.677,1.784,1.806,1.941,2.126,2.772,2.901,3.06,3.422,3.545,3.565,3.987,4.45,4.652,4.797,4.952,5.085,5.166,5.318,5.344,5.365,5.396,5.961,6.123,6.222,6.71,6.913,7.057,7.262,7.797,7.976,8.002,8.04,8.21,8.354,8.471,8.613,8.675,8.735,8.783,8.808,8.904,8.996,9.064,9.105,9.3,9.328,9.373,9.412,9.484,9.536,9.679,9.723,9.827,9.94,nan,nan
