0.265,0.39,0.512,0.55,0.617,0.861,1.043,1.14,1.231,1.502,1.614,1.89,1.926,1.978,1.988,2.084,2.188,2.223,2.541,2.743,2.894,3.756,3.809,3.844,3.892,4.008,4.073,4.371,4.615,4.645,4.696,4.726,4.987,5.218,5.379,5.521,5.595,5.701,6.018,6.189,6.559,6.635,7.69,7.809,8.366,8.609,8.88,8.924,8.96,8.978,9.164,9.282,9.483,9.524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054,0.193,0.223,0.27,0.305,0.492,0.629,0.744,1.05,1.548,1.619,1.903,2.151,2.237,2.58,3.184,3.602,3.671,3.826,3.891,3.928,4.437,4.481,4.672,4.771,4.934,4.977,5.341,5.649,5.717,6.288,6.723,6.742,7.133,8.169,8.335,8.524,8.67,8.745,8.923,8.949,9.106,9.241,9.453,9.549,9.58,9.607,9.645,9.945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.042,0.425,0.601,0.749,0.861,0.946,0.977,1.223,1.536,1.753,1.933,2.093,2.211,2.383,2.509,2.641,3.773,3.959,3.982,4.262,4.469,4.676,4.793,5.092,5.19,5.213,5.473,5.651,5.706,5.735,5.773,5.992,6.077,6.191,6.302,6.569,6.756,6.795,6.934,7.122,7.196,7.313,7.404,7.506,7.643,7.97,8.021,8.06,8.221,8.381,8.406,8.445,8.487,8.566,8.648,8.699,8.732,8.905,9.076,9.156,9.345,9.501,9.585,9.712,9.803,9.98,nan,nan,nan,nan,nan,nan
0.091,0.24,0.378,0.629,0.803,0.995,1.029,1.109,1.219,1.521,1.955,2.032,2.238,2.499,3.414,3.794,3.827,4.243,4.385,4.558,4.728,4.797,4.872,5.001,5.204,5.243,5.72,5.849,6.075,6.448,6.533,7.426,7.62,7.731,7.859,8.077,8.244,8.536,8.622,8.761,8.834,8.889,8.941,9.048,9.145,9.22,9.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.084,0.127,0.175,0.231,0.655,0.705,0.87,0.981,1.152,1.207,1.242,1.269,1.329,1.416,1.543,1.648,1.68,2.805,2.972,3.345,3.722,3.798,3.885,3.91,4.126,4.44,4.536,4.715,4.79,4.829,4.943,5.199,5.413,5.469,5.527,5.76,5.816,6.1,6.217,6.614,6.799,6.899,7.069,7.434,7.587,7.872,8.23,8.344,8.456,8.733,9.124,9.377,9.486,9.543,9.585,9.71,9.743,9.849,9.954,9.989,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.353,0.384,0.414,0.558,0.719,0.769,0.879,0.92,1.076,1.32,1.383,1.534,1.619,2.049,2.204,2.401,2.603,2.642,3.086,3.585,3.685,3.921,4.046,4.103,4.162,4.245,4.402,4.62,4.778,5.099,5.247,5.381,5.882,6.092,6.173,6.333,6.474,6.525,7.472,7.763,8.204,8.341,8.52,8.62,8.741,9.191,9.288,9.366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.451,0.588,0.652,0.685,0.765,0.951,0.996,1.105,1.142,1.218,1.249,1.365,1.593,1.622,1.723,2.058,2.355,2.403,2.457,2.826,2.93,3.161,3.459,3.974,4.025,4.173,4.235,4.272,4.442,4.924,4.942,5.292,5.668,5.807,5.925,6.332,6.521,6.708,7.558,7.862,8.005,8.226,8.415,8.762,8.807,8.825,9.208,9.503,9.596,9.767,9.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.314,0.548,0.644,0.771,0.893,1.04,1.141,1.194,1.389,1.61,1.714,1.762,2.004,2.117,2.249,2.39,2.689,2.918,2.949,3.226,4.101,4.276,4.462,4.544,4.612,4.731,4.855,5.128,5.187,5.26,5.314,5.619,5.676,5.763,5.85,5.905,5.982,6.111,6.164,6.336,6.477,6.663,6.741,7.27,7.318,7.749,7.803,7.892,8.042,8.264,8.632,8.714,8.949,9.095,9.261,9.456,9.833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.081,0.197,0.272,0.573,0.662,0.843,0.918,1.065,1.122,1.669,1.698,2.27,2.616,3.129,4.008,4.065,4.15,4.193,4.233,4.532,4.617,4.911,4.951,5.254,5.31,5.368,5.475,5.674,5.82,5.883,5.974,6.0,6.164,6.274,6.746,6.995,7.34,7.441,7.474,7.764,7.875,8.2,8.247,8.434,8.495,8.544,8.611,8.654,8.897,8.976,9.057,9.093,9.15,9.245,9.372,9.531,9.689,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.231,0.464,0.523,0.573,0.739,0.874,1.033,1.109,1.153,1.183,1.337,1.403,1.474,1.555,1.617,1.703,1.915,3.097,3.198,3.288,3.56,4.139,4.501,4.57,4.652,4.742,4.849,5.168,5.203,5.429,5.648,5.683,5.927,5.988,6.074,6.543,6.68,6.842,6.898,7.177,7.399,7.748,7.799,8.169,8.249,8.662,8.816,8.839,8.877,8.901,9.16,9.212,9.448,9.992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
