0.244,0.437,0.475,0.688,0.769,0.974,1.082,1.242,1.457,1.551,1.718,2.415,2.518,2.552,2.753,2.963,3.529,3.839,4.135,4.336,4.832,4.875,4.982,5.155,5.218,5.303,5.358,5.449,5.515,5.668,6.414,6.711,7.699,7.877,8.306,8.429,8.576,8.607,8.671,8.907,9.087,9.14,9.62,9.766,9.905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059,0.084,0.231,0.339,0.413,0.461,0.613,0.895,1.046,1.071,1.27,1.545,1.686,1.812,1.833,2.111,2.28,2.336,2.659,2.726,3.153,3.229,3.321,3.52,3.567,3.673,3.84,3.891,4.035,4.188,4.321,4.458,4.504,4.608,4.91,5.121,5.323,5.35,5.403,5.85,6.049,6.241,6.299,6.397,6.454,7.031,7.253,7.398,7.629,7.872,7.905,8.139,8.247,8.514,8.69,8.812,8.85,8.873,8.945,9.148,9.232,9.461,9.765,9.892,9.916,nan,nan
0.048,0.139,0.173,0.298,0.452,0.521,0.542,0.59,0.633,0.652,0.909,1.075,1.121,1.347,1.629,1.813,2.03,2.059,2.124,2.348,2.647,2.787,2.892,3.159,3.316,4.055,4.216,4.333,4.374,4.533,4.562,4.769,4.793,5.024,5.118,5.19,5.213,5.297,5.402,5.458,5.499,5.555,5.623,5.7,5.766,6.009,6.4,6.843,7.063,7.105,7.694,7.744,7.801,8.159,8.288,8.576,8.65,8.986,9.123,9.166,9.278,9.423,9.508,9.541,9.942,nan,nan
0.031,0.201,0.238,0.267,0.446,0.609,0.814,0.86,0.957,1.033,1.071,1.197,1.226,1.297,1.347,1.379,1.426,1.523,2.094,2.484,3.417,3.488,3.717,4.062,4.203,4.246,4.292,4.343,4.609,4.641,4.861,5.051,5.091,5.291,5.375,5.446,5.554,5.587,5.789,5.861,5.998,6.541,7.03,7.814,8.031,8.092,8.211,8.244,8.504,8.725,8.826,9.06,9.337,9.378,9.454,9.654,9.912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.198,0.575,0.689,0.743,0.881,1.2,1.324,1.389,1.419,1.536,1.791,1.909,1.934,2.035,2.06,2.142,2.427,2.468,2.925,3.476,3.924,4.003,4.119,4.158,4.406,4.537,4.704,4.728,4.751,5.171,5.273,5.535,5.717,5.741,6.024,6.156,6.583,7.034,7.204,7.791,7.933,8.11,8.333,8.533,8.562,8.641,8.665,8.979,9.019,9.167,9.262,9.373,9.486,9.564,9.627,9.655,9.906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.032,0.098,0.16,0.595,0.831,1.028,1.169,1.203,1.234,1.301,2.05,2.11,2.627,2.766,2.807,2.93,3.732,3.865,3.891,4.393,4.432,4.471,4.638,4.683,4.733,4.793,4.855,5.154,5.437,5.517,5.927,5.981,6.086,6.352,6.665,7.017,7.276,7.45,7.598,7.985,8.06,8.12,8.421,8.502,8.783,8.823,8.947,9.07,9.228,9.412,9.447,9.56,9.618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.239,0.268,0.308,0.358,0.616,0.984,1.076,1.468,1.632,1.721,1.837,1.893,1.95,2.154,2.631,2.76,2.937,3.305,3.73,4.272,4.412,4.497,4.615,4.852,5.052,5.199,5.287,5.411,5.928,6.09,7.097,7.195,7.283,7.322,7.36,7.421,7.822,7.946,7.998,8.125,8.255,8.305,8.535,8.806,8.903,9.089,9.171,9.305,9.583,9.598,9.866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.078,0.27,0.361,0.637,0.741,0.916,0.98,1.149,1.26,1.37,1.611,1.71,1.749,1.861,1.925,1.979,2.016,2.1,2.268,3.111,3.473,3.549,3.995,4.045,4.158,4.505,4.563,4.924,5.009,5.456,5.639,5.702,5.762,6.043,6.209,6.377,6.523,6.729,6.802,6.911,6.976,7.045,7.257,7.832,7.901,7.98,8.356,8.465,8.567,8.748,8.914,8.965,9.035,9.115,9.559,9.761,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.194,0.222,0.434,0.582,0.643,0.691,0.715,0.9,1.494,1.707,1.736,1.795,1.84,2.105,2.178,2.23,2.282,2.35,3.052,3.218,3.248,3.724,3.811,3.961,4.138,4.237,4.36,4.381,4.568,4.687,4.796,5.197,5.365,5.509,5.534,5.567,5.835,6.24,6.367,6.466,6.549,6.797,7.195,7.331,7.709,7.804,7.849,7.969,8.045,8.103,8.198,8.39,8.427,8.469,8.64,8.738,8.873,8.947,9.145,9.255,9.308,nan,nan,nan,nan,nan,nan
0.391,0.466,0.649,0.851,0.95,1.134,1.177,1.306,1.344,1.522,1.836,2.034,2.089,2.482,2.715,3.178,3.24,3.276,3.422,4.127,4.432,4.549,4.614,4.799,5.047,5.137,5.249,5.368,5.477,5.561,5.684,5.85,6.015,6.036,6.088,6.174,6.336,6.455,6.579,6.652,6.747,6.905,6.987,7.437,8.695,8.791,8.876,8.925,9.044,9.101,9.217,9.256,9.687,9.822,9.867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
