0.077,0.287,0.778,1.021,1.171,1.223,1.637,1.756,1.93,2.005,2.078,2.204,2.262,2.396,3.083,3.421,3.632,3.995,4.334,4.358,4.558,4.595,4.77,4.869,5.188,5.456,5.553,5.599,5.628,5.709,5.904,6.048,6.103,6.579,7.071,7.79,7.988,8.024,8.289,8.393,8.514,8.737,8.857,9.056,9.174,9.548,9.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.313,0.36,0.387,0.419,0.94,0.974,1.026,1.351,1.411,1.443,1.512,1.64,1.756,2.049,2.188,2.232,2.261,2.287,2.482,2.741,2.913,3.036,3.899,3.964,4.021,4.074,4.121,4.195,4.441,4.455,4.484,4.599,4.784,5.193,5.46,5.846,5.905,6.163,6.526,6.847,6.953,7.381,7.543,7.596,7.722,7.866,8.571,8.648,8.761,8.872,8.947,9.017,9.352,9.375,9.416,9.499,9.697,9.782,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.079,0.331,0.738,0.804,0.891,1.114,1.176,1.199,1.531,1.876,2.296,2.31,2.51,3.361,4.13,4.524,4.579,4.795,4.836,4.881,5.043,5.15,5.259,5.322,5.369,5.444,5.502,5.531,5.585,5.866,5.977,6.11,6.176,6.27,6.448,6.522,7.281,7.623,7.66,7.69,8.049,8.387,8.549,8.711,8.843,9.09,9.161,9.434,9.749,9.79,9.873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.029,0.117,0.214,0.49,0.531,0.549,0.69,0.77,0.963,1.043,1.128,1.193,1.546,1.683,1.92,1.95,2.039,2.083,2.361,2.421,2.656,2.731,3.397,3.558,4.033,4.189,4.253,4.429,4.522,4.708,4.842,4.881,4.943,4.992,5.032,5.129,5.55,5.659,5.755,5.89,5.939,6.082,6.139,6.443,6.462,7.128,7.655,7.75,7.988,8.06,8.104,8.225,8.338,8.684,9.008,9.096,9.203,9.348,9.519,9.551,9.662,9.857,9.962,9.991,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.055,0.124,0.321,0.395,0.724,0.78,0.944,0.982,1.086,1.36,1.438,1.474,1.629,2.245,2.302,3.308,3.621,4.09,4.2,4.675,5.048,5.165,5.32,5.55,5.69,5.725,5.783,5.828,5.995,6.376,6.673,6.958,7.396,8.263,8.463,8.521,8.549,8.894,8.998,9.15,9.227,9.449,9.479,9.695,9.855,9.907,9.932,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.223,0.516,0.597,0.701,0.759,0.777,0.917,1.129,1.16,1.867,2.008,2.131,2.651,3.24,3.561,3.742,3.948,4.154,4.449,4.715,4.82,5.045,5.548,5.616,5.682,5.756,6.005,6.234,6.267,6.454,6.615,7.093,7.219,7.338,7.463,7.509,7.553,7.584,7.684,7.757,7.895,8.194,9.11,9.371,9.499,9.529,9.639,9.746,9.793,9.937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.117,0.378,0.431,0.938,1.025,1.148,1.554,1.612,1.662,1.767,1.826,1.934,2.15,2.227,3.101,3.494,3.665,3.898,4.006,4.04,4.298,4.421,4.487,4.944,5.103,5.304,5.334,5.377,5.505,5.595,5.758,5.785,5.982,6.551,6.818,6.865,6.925,7.355,7.751,7.861,8.202,8.345,8.378,8.52,8.796,8.905,9.086,9.181,9.201,9.511,9.877,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178,0.237,0.412,0.482,0.572,0.76,1.151,1.417,1.515,1.589,1.919,2.122,2.202,2.256,2.363,2.755,3.477,3.787,3.862,3.992,4.035,4.471,4.567,4.656,4.69,4.869,4.916,5.027,5.216,5.317,5.394,5.483,5.547,5.712,5.993,6.064,6.082,6.288,6.756,6.889,6.943,7.315,7.713,8.564,8.807,8.867,9.027,9.099,9.219,9.309,9.458,9.66,9.875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.126,0.277,0.521,0.809,1.019,1.159,1.217,1.275,1.459,1.515,1.962,2.188,2.326,3.075,3.285,3.608,3.658,4.167,4.287,4.468,4.861,4.877,4.936,4.964,5.24,5.263,5.363,5.854,5.98,6.117,6.247,6.37,6.478,7.899,8.063,8.473,8.697,9.008,9.072,9.147,9.316,9.408,9.527,9.59,9.747,9.831,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.398,0.727,0.768,0.902,1.165,1.248,1.704,1.953,2.589,2.789,3.011,3.127,3.203,3.255,3.482,3.816,3.923,4.181,4.218,4.273,4.408,4.453,4.748,4.857,4.906,4.947,5.038,5.29,5.413,6.046,6.149,6.197,6.291,6.792,7.161,7.283,7.833,8.004,8.056,8.281,8.353,8.395,8.57,8.723,8.859,9.017,9.053,9.124,9.256,9.307,9.349,9.38,9.512,9.765,9.808,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
