0.266,0.391,0.513,0.551,0.618,0.862,1.044,1.232,1.503,1.616,1.89,1.926,1.978,1.988,2.084,2.188,2.222,2.54,2.741,2.893,2.966,3.06,3.396,3.755,3.809,3.844,3.892,4.008,4.073,4.616,4.697,4.988,5.219,5.379,5.521,5.701,6.018,6.189,6.558,6.602,6.636,7.226,7.689,7.809,8.367,8.61,8.881,8.935,8.966,8.982,9.283,9.484,9.526,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054,0.194,0.224,0.304,0.494,1.548,1.62,1.903,2.151,2.236,2.579,3.18,3.508,3.601,3.67,3.708,3.826,3.891,3.928,4.437,4.482,4.793,4.935,4.978,5.342,5.65,5.718,6.287,6.555,6.723,6.74,6.89,7.007,7.132,7.337,8.17,8.336,8.536,8.746,8.923,8.951,9.107,9.474,9.555,9.585,9.642,9.945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.042,0.426,0.768,0.947,0.98,1.223,1.537,1.754,1.933,2.093,2.211,2.354,2.387,2.508,2.603,2.641,2.935,3.032,3.499,3.773,3.959,3.982,4.263,4.471,4.677,4.794,5.094,5.191,5.215,5.474,5.652,5.707,5.737,5.774,5.992,6.076,6.191,6.302,6.517,6.564,6.755,6.795,6.933,7.121,7.195,7.296,7.404,7.505,7.642,7.97,8.059,8.222,8.382,8.407,8.447,8.488,8.567,8.731,8.906,9.077,9.158,9.502,9.585,9.804,9.98
0.24,0.379,0.805,0.996,1.03,1.11,1.219,1.522,1.955,2.032,2.238,2.474,2.579,3.197,3.266,3.32,3.405,3.793,3.827,4.243,4.56,4.728,4.805,4.872,5.002,5.222,5.721,5.85,6.075,6.448,6.532,7.426,7.619,7.73,7.859,8.077,8.622,8.762,8.835,8.89,8.942,9.059,9.146,9.222,9.631,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.084,0.127,0.176,0.231,0.706,0.872,0.99,1.153,1.208,1.244,1.33,1.417,1.678,2.103,2.611,2.798,2.97,3.133,3.305,3.344,3.544,3.722,3.797,3.885,3.91,4.126,4.455,4.537,4.717,4.791,4.831,5.414,5.471,5.529,5.816,6.099,6.217,6.613,6.798,6.898,6.936,7.067,7.432,7.586,7.618,7.872,8.23,8.345,8.457,8.734,9.124,9.377,9.486,9.585,9.71,9.743,9.988,nan,nan,nan,nan,nan,nan,nan,nan
0.354,0.385,0.415,0.559,0.72,0.77,1.079,1.321,1.384,1.535,2.049,2.204,2.401,2.602,2.64,3.081,3.221,3.584,3.653,3.687,3.921,4.046,4.104,4.163,4.245,4.404,4.621,4.779,5.248,5.382,5.883,6.092,6.173,6.307,6.346,6.473,6.524,6.75,6.857,6.915,7.096,7.322,7.471,7.763,8.21,8.342,8.521,8.621,8.742,9.192,9.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.452,0.589,0.653,0.687,0.766,1.106,1.248,1.594,1.624,1.723,2.058,2.354,2.401,2.433,2.791,2.826,2.93,3.034,3.16,3.268,3.403,3.458,3.671,3.788,3.973,4.025,4.173,4.236,4.273,4.443,4.932,5.669,5.807,5.925,6.332,6.52,6.708,6.754,7.558,7.862,8.005,8.227,8.819,9.209,9.597,9.767,9.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.315,0.644,1.041,1.195,1.391,1.61,1.714,1.763,2.004,2.116,2.249,2.389,2.559,2.688,2.87,2.916,2.939,3.131,3.225,4.102,4.277,4.463,4.545,4.732,5.189,5.261,5.676,5.764,5.851,5.905,5.982,6.111,6.164,6.336,6.476,6.644,6.691,6.74,7.268,7.317,7.728,7.757,7.803,7.892,8.042,8.265,8.633,8.715,8.951,9.456,9.833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.081,0.198,0.273,0.574,0.663,0.843,0.919,1.066,1.67,1.699,2.122,2.27,2.571,2.616,3.118,3.167,3.325,4.008,4.065,4.15,4.193,4.233,4.533,4.618,4.918,4.959,5.255,5.311,5.476,5.675,5.82,5.883,5.974,6.0,6.164,6.273,6.743,6.995,7.222,7.338,7.44,7.474,7.759,7.875,8.201,8.247,8.496,8.545,8.611,8.656,9.058,9.095,9.151,9.246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.231,0.465,0.593,0.875,1.11,1.181,1.337,1.404,1.476,1.556,1.704,1.916,2.478,2.801,3.068,3.098,3.131,3.189,3.286,3.56,4.14,4.502,4.571,4.653,4.743,4.85,5.169,5.219,5.649,5.927,5.988,6.074,6.542,6.611,6.679,6.84,6.887,6.978,7.176,7.397,7.748,7.798,8.169,8.25,8.662,8.817,8.899,9.16,9.214,9.449,9.992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
