0.126,0.368,0.427,0.475,0.565,1.089,1.154,1.317,1.463,1.903,2.027,2.25,2.681,2.841,2.893,3.511,3.642,3.686,3.817,3.861,3.944,4.147,4.196,4.401,4.491,4.651,4.806,5.224,5.35,5.393,5.427,5.508,5.653,5.696,5.79,5.885,5.923,5.989,6.011,6.118,6.509,6.53,6.829,6.867,7.541,7.682,7.73,7.842,7.929,8.257,8.293,8.374,8.391,8.468,8.531,8.68,8.87,9.129,9.245,9.334,9.631,9.791,9.885,nan
0.484,0.553,0.846,1.528,1.785,2.275,2.39,2.495,2.599,2.818,2.983,3.261,3.626,3.706,3.811,3.929,4.393,4.438,4.49,5.37,5.441,5.544,5.751,5.78,6.013,6.575,6.848,6.902,7.078,7.177,7.381,7.533,7.627,8.098,8.137,8.183,8.402,8.561,8.667,8.827,8.882,9.031,9.162,9.275,9.406,9.523,9.643,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.186,0.348,0.397,0.431,0.739,1.07,1.114,1.512,1.598,1.74,2.427,2.629,2.993,3.215,3.234,3.272,3.389,3.501,3.698,3.989,4.029,4.126,4.574,4.649,5.375,5.456,5.535,5.616,5.854,6.148,6.201,6.267,6.388,6.405,6.498,6.73,6.816,6.843,6.997,7.064,7.125,7.692,7.734,7.833,8.294,8.311,8.426,8.522,8.811,8.906,9.097,9.135,9.496,9.553,9.597,9.661,9.701,9.917,nan,nan,nan,nan,nan,nan
0.082,0.149,0.234,0.723,1.106,1.199,1.513,2.16,2.206,2.276,2.624,2.932,3.273,3.665,3.696,3.799,4.004,4.148,4.24,4.354,4.659,4.851,5.049,5.186,5.304,5.646,6.123,6.504,6.728,6.909,7.408,7.563,7.72,7.944,8.015,8.287,8.331,8.509,9.425,9.472,9.653,9.775,9.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.268,0.303,0.444,0.999,1.446,1.667,1.765,1.878,1.987,2.123,2.432,2.524,2.568,3.054,3.148,3.661,3.676,3.845,4.163,4.196,4.257,4.362,4.421,4.46,4.501,4.555,5.238,5.29,5.509,5.694,5.994,6.397,6.763,7.021,7.56,7.751,7.806,8.45,8.528,8.744,8.836,9.015,9.084,9.207,9.266,9.344,9.741,9.952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.128,0.225,0.582,0.666,0.748,0.939,1.049,1.113,1.521,1.923,2.079,2.134,2.466,2.895,2.98,3.22,3.36,3.409,3.454,3.585,3.615,3.846,3.906,4.087,4.736,4.922,5.358,5.573,5.64,5.745,6.026,6.103,6.25,6.893,6.939,7.302,7.932,8.331,8.45,8.73,8.846,8.951,9.288,9.557,9.612,9.71,9.772,9.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.559,0.727,0.818,0.866,0.913,1.039,1.74,1.853,2.128,2.224,2.658,2.71,2.843,2.985,3.012,3.072,3.377,3.88,4.218,4.672,4.725,4.992,5.089,5.237,5.266,5.321,5.395,5.706,5.823,5.968,6.002,6.124,6.19,6.236,6.3,6.406,6.518,6.567,6.643,6.687,7.021,7.483,7.902,8.062,8.181,8.448,8.603,8.962,9.225,9.36,9.589,9.665,9.729,9.918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.668,1.053,1.085,1.186,1.269,1.388,2.141,2.256,2.595,2.854,3.129,3.169,3.371,3.812,3.917,3.955,4.167,4.222,4.517,4.723,4.813,4.982,5.219,5.406,5.574,5.603,5.646,6.201,6.459,6.727,6.814,7.114,7.649,7.968,8.149,8.201,8.237,8.301,8.529,8.593,8.886,9.171,9.302,9.699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.331,0.44,0.498,0.576,0.723,0.878,0.971,1.151,1.207,1.687,1.793,1.871,1.894,2.073,2.439,2.604,2.667,3.078,3.333,3.404,3.624,3.652,3.804,4.339,4.384,4.471,4.655,4.747,5.266,5.306,5.976,6.132,6.243,6.35,6.62,6.985,7.395,7.713,7.845,7.913,8.04,8.144,8.506,8.569,8.621,8.685,8.873,9.02,9.05,9.118,9.35,9.429,9.525,9.569,9.658,9.807,9.868,9.897,9.939,nan,nan,nan,nan,nan
0.042,0.258,0.352,0.459,0.521,0.557,0.613,0.686,1.176,1.243,1.345,1.498,1.543,1.604,1.75,2.181,2.22,2.682,2.804,3.109,3.474,3.514,3.548,4.131,4.414,4.973,5.094,5.138,5.251,5.373,5.581,5.616,5.685,5.778,6.513,6.636,6.836,6.9,6.959,7.068,7.307,7.491,7.56,7.739,7.771,7.955,8.02,8.252,8.324,8.443,8.645,8.842,8.907,9.787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.031,0.051,0.143,0.364,0.583,0.856,0.872,1.802,1.93,1.947,2.094,2.178,2.847,3.328,3.445,3.595,3.69,3.986,4.032,4.077,4.388,4.509,4.844,5.012,5.088,5.191,5.291,5.712,5.766,5.964,6.371,6.628,6.794,6.823,6.875,7.014,7.31,7.457,7.701,7.78,7.951,8.013,8.159,8.372,8.712,8.983,9.126,9.264,9.561,9.784,9.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.119,0.288,0.467,1.138,1.451,1.732,1.773,1.916,2.228,2.34,2.447,2.661,2.736,2.953,3.257,3.301,3.441,3.516,3.703,3.893,4.056,4.958,5.154,5.668,5.736,5.882,5.942,6.051,6.445,6.837,6.964,7.196,7.283,7.503,7.919,7.941,8.009,8.166,8.256,8.312,8.328,8.513,8.841,9.29,9.366,9.488,9.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.046,0.158,0.231,0.321,0.854,0.912,1.048,1.105,1.522,1.89,2.016,2.041,2.125,2.166,2.332,2.812,2.96,3.31,3.733,3.978,4.018,4.227,4.66,4.843,4.877,4.932,5.15,5.331,5.466,5.739,5.996,6.511,6.581,7.092,7.2,7.439,7.596,8.183,8.46,8.767,8.843,8.953,9.359,9.604,9.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.347,0.633,0.727,0.941,1.093,1.461,1.712,1.746,1.795,1.868,1.976,2.015,2.226,2.947,3.248,3.58,3.846,4.395,4.639,4.768,4.94,5.074,5.136,5.212,5.313,5.57,5.758,5.879,6.072,6.133,7.03,7.278,7.409,7.476,7.657,8.162,8.425,8.727,8.838,8.942,9.036,9.075,9.159,9.504,9.531,9.583,9.861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.262,0.707,0.959,1.226,1.686,2.221,2.86,2.904,3.156,3.263,3.312,3.416,3.478,3.665,3.755,3.796,4.231,4.474,4.706,4.744,5.117,5.205,5.234,5.402,5.692,5.986,6.172,6.291,6.571,6.964,7.22,7.335,7.391,8.001,8.262,8.507,8.922,8.986,9.478,9.518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.235,0.282,0.58,0.719,0.834,0.912,0.995,1.432,1.835,2.466,2.64,3.049,3.369,3.418,3.524,4.016,4.073,4.242,4.284,4.497,4.824,4.984,5.031,5.078,5.264,5.477,5.617,5.771,5.935,6.092,6.499,6.706,6.729,6.803,6.902,7.136,7.312,7.371,7.551,7.716,7.866,7.907,8.14,8.412,8.443,8.515,9.004,9.082,9.251,9.375,9.448,9.659,9.686,9.833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.157,0.244,0.341,0.541,0.645,1.108,1.154,1.183,1.245,1.322,1.377,1.425,1.541,2.021,2.117,2.205,2.551,2.878,3.234,3.71,3.861,3.903,4.072,4.281,4.987,5.01,5.428,5.554,6.343,6.428,6.635,7.176,7.608,7.964,7.996,8.117,8.2,8.229,8.267,8.416,8.604,8.638,8.794,8.864,8.963,9.079,9.151,9.208,9.289,9.345,9.473,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.336,0.394,0.911,1.321,1.458,2.043,2.211,2.257,2.324,2.398,2.499,2.533,2.671,2.836,2.898,2.952,3.068,3.218,3.395,3.413,3.527,4.079,4.173,4.875,4.944,5.163,5.499,5.543,5.835,6.007,6.299,6.626,6.683,6.874,6.904,7.081,7.29,7.616,7.634,7.75,7.819,7.895,7.966,8.089,8.247,8.329,8.387,8.579,9.026,9.121,9.158,9.235,9.346,9.374,9.466,9.562,9.676,nan,nan,nan,nan,nan,nan,nan
0.098,0.529,0.672,0.82,0.876,1.051,1.13,1.401,1.764,1.81,1.912,2.186,2.635,2.74,2.776,2.805,3.457,3.654,3.689,3.728,3.842,3.977,4.144,4.255,4.328,4.412,4.444,4.594,4.654,4.737,5.213,5.662,5.796,6.453,6.499,6.992,7.327,7.499,7.724,7.772,7.874,7.998,8.08,8.283,8.361,8.499,8.554,8.67,8.987,9.021,9.334,9.616,9.762,9.864,9.893,9.979,nan,nan,nan,nan,nan,nan,nan,nan
