0.104,0.287,0.337,0.453,0.603,0.67,0.764,0.809,0.918,1.095,1.13,1.233,1.322,1.362,1.473,1.531,1.578,1.615,1.769,1.824,1.891,1.923,2.003,2.04,2.094,2.121,2.146,2.202,2.221,2.24,2.299,2.403,2.556,2.61,2.666,2.736,2.769,2.808,2.86,2.884,2.926,2.982,3.015,3.039,3.102,3.122,3.229,3.248,3.297,3.348,3.395,3.466,3.512,3.655,3.843,3.889,4.119,4.17,4.401,4.478,4.565,4.632,4.702,4.736,4.763,4.889,4.972,5.129,5.153,5.17,5.215,5.283,5.337,5.483,5.554,5.621,5.702,5.796,5.83,6.001,6.106,6.194,6.281,6.323,6.355,6.452,6.507,6.603,6.646,6.716,7.04,7.139,7.192,7.312,7.411,7.442,7.46,7.57,7.696,7.787,7.986,8.024,8.045,8.071,8.163,8.197,8.273,8.351,8.391,8.421,8.521,8.588,8.61,8.639,8.762,8.98,9.093,9.142,9.172,9.22,9.247,9.313,9.452,9.535,9.562,9.635,9.682,9.756,9.806,9.829,9.845,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.052,0.2,0.326,0.349,0.379,0.427,0.458,0.626,0.735,0.808,0.891,0.931,0.998,1.019,1.063,1.311,1.348,1.395,1.43,1.446,1.506,1.537,1.56,1.77,1.936,2.097,2.121,2.203,2.389,2.417,2.528,2.6,2.636,2.772,2.842,2.909,3.021,3.064,3.084,3.208,3.245,3.299,3.343,3.396,3.426,3.55,3.582,3.709,3.735,3.762,3.814,4.07,4.137,4.278,4.319,4.366,4.407,4.497,4.537,4.696,4.797,4.894,4.915,4.964,4.979,5.083,5.13,5.24,5.39,5.49,5.559,5.677,5.707,5.743,5.814,5.839,5.873,5.898,6.209,6.24,6.294,6.361,6.373,6.465,6.622,6.836,6.917,6.959,7.069,7.159,7.186,7.31,7.389,7.509,7.534,7.65,7.714,7.781,7.825,7.938,8.002,8.051,8.07,8.101,8.123,8.155,8.188,8.306,8.338,8.415,8.472,8.502,8.677,8.789,8.847,8.884,8.902,8.958,9.001,9.094,9.15,9.227,9.28,9.328,9.452,9.571,9.799,9.837,9.862,9.887,9.935,9.955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039,0.084,0.114,0.165,0.206,0.307,0.334,0.45,0.467,0.559,0.621,0.655,0.767,0.826,0.854,0.898,0.931,0.983,1.062,1.31,1.38,1.46,1.489,1.626,1.648,1.689,1.907,1.964,2.024,2.078,2.137,2.192,2.202,2.245,2.328,2.369,2.565,2.586,2.679,3.004,3.066,3.151,3.191,3.231,3.39,3.507,3.553,3.758,3.813,3.837,4.139,4.197,4.281,4.348,4.38,4.4,4.444,4.479,4.509,4.547,4.584,4.702,4.751,4.782,4.797,4.824,4.862,4.877,4.908,4.937,5.041,5.118,5.171,5.216,5.27,5.295,5.441,5.511,5.545,5.568,5.63,5.658,5.792,5.844,5.879,5.953,5.979,6.095,6.131,6.216,6.251,6.28,6.399,6.431,6.46,6.534,6.564,6.639,6.879,6.983,7.08,7.155,7.223,7.292,7.325,7.512,7.545,7.63,7.794,7.845,7.886,8.023,8.086,8.135,8.174,8.186,8.399,8.466,8.532,8.608,8.732,8.828,8.926,8.986,9.068,9.091,9.123,9.155,9.234,9.301,9.379,9.446,9.474,9.55,9.604,9.786,9.902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.118,0.18,0.283,0.468,0.521,0.619,0.712,0.822,0.865,0.99,1.012,1.053,1.07,1.108,1.164,1.191,1.255,1.394,1.428,1.485,1.564,1.59,1.645,1.716,1.804,1.898,1.97,1.999,2.043,2.075,2.114,2.141,2.677,2.699,2.775,2.811,2.831,2.887,3.031,3.086,3.107,3.129,3.213,3.347,3.387,3.75,3.851,3.958,4.068,4.185,4.227,4.317,4.381,4.417,4.437,4.459,4.496,4.516,4.58,4.619,4.635,4.715,4.754,4.773,5.003,5.152,5.204,5.323,5.361,5.414,5.435,5.466,5.486,5.529,5.55,5.717,5.757,5.808,5.902,5.939,5.959,5.996,6.032,6.124,6.16,6.174,6.268,6.32,6.383,6.405,6.486,6.506,6.532,6.563,6.608,6.709,6.93,6.973,7.089,7.208,7.228,7.311,7.341,7.408,7.464,7.5,7.528,7.573,7.666,7.697,7.728,7.756,7.793,7.857,7.89,7.98,8.046,8.074,8.093,8.17,8.207,8.306,8.328,8.374,8.414,8.436,8.495,8.521,8.573,8.614,8.712,8.747,8.789,8.852,8.9,9.008,9.065,9.118,9.198,9.215,9.321,9.346,9.441,9.466,9.507,9.641,9.81,9.852,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.066,0.352,0.389,0.435,0.493,0.507,0.546,0.635,0.723,0.799,0.822,0.835,0.892,0.989,1.023,1.063,1.125,1.279,1.328,1.409,1.494,1.538,1.647,1.759,1.782,1.93,2.043,2.119,2.252,2.351,2.38,2.427,2.444,2.469,2.481,2.599,2.632,2.722,2.756,2.776,2.822,2.855,2.878,2.938,2.993,3.028,3.055,3.209,3.253,3.274,3.329,3.378,3.435,3.543,3.658,3.812,3.92,3.956,4.049,4.079,4.153,4.21,4.372,4.555,4.604,4.705,4.734,4.807,4.834,4.869,4.914,5.045,5.139,5.183,5.204,5.266,5.323,5.425,5.609,5.628,5.699,5.731,5.881,5.943,6.025,6.054,6.112,6.22,6.333,6.453,6.502,6.615,6.67,6.731,6.764,6.887,6.929,6.957,7.087,7.141,7.21,7.235,7.369,7.403,7.435,7.452,7.477,7.522,7.576,7.592,7.7,7.731,7.846,7.86,7.938,8.004,8.126,8.144,8.184,8.237,8.28,8.364,8.422,8.451,8.542,8.609,8.657,8.853,8.887,8.906,9.128,9.187,9.233,9.285,9.37,9.406,9.447,9.48,9.653,9.711,9.759,9.787,9.86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.049,0.13,0.163,0.229,0.286,0.332,0.362,0.478,0.505,0.535,0.707,0.728,0.875,0.911,0.938,1.027,1.095,1.156,1.196,1.24,1.312,1.337,1.405,1.447,1.531,1.604,1.628,1.718,1.781,1.897,1.965,1.993,2.02,2.084,2.14,2.265,2.351,2.391,2.42,2.438,2.464,2.493,2.542,2.585,2.624,2.678,2.723,2.747,2.791,2.849,2.927,3.181,3.323,3.4,3.455,3.496,3.567,3.588,3.635,3.659,3.716,3.828,3.854,3.9,3.975,4.035,4.267,4.288,4.467,4.525,4.634,4.675,4.693,4.715,4.752,4.764,4.791,4.817,4.884,5.011,5.033,5.146,5.183,5.321,5.345,5.503,5.596,5.69,5.73,5.765,5.829,5.892,6.037,6.083,6.111,6.137,6.192,6.221,6.256,6.294,6.36,6.461,6.589,6.648,6.693,6.797,6.857,6.96,6.998,7.047,7.131,7.211,7.305,7.41,7.45,7.481,7.632,7.653,7.669,7.702,7.754,7.825,7.886,8.164,8.219,8.25,8.326,8.352,8.46,8.487,8.511,8.574,8.699,8.719,8.778,8.85,8.905,8.994,9.05,9.163,9.262,9.287,9.352,9.434,9.493,9.573,9.755,9.833,9.968,nan,nan,nan,nan,nan,nan,nan,nan
0.048,0.106,0.129,0.293,0.349,0.394,0.475,0.505,0.535,0.578,0.627,0.682,0.723,0.799,0.849,0.95,1.005,1.085,1.115,1.143,1.213,1.248,1.299,1.352,1.401,1.481,1.606,1.629,1.77,1.792,1.906,1.983,2.021,2.102,2.163,2.252,2.313,2.351,2.405,2.437,2.463,2.507,2.613,2.783,2.908,2.984,3.012,3.092,3.207,3.232,3.287,3.334,3.366,3.422,3.505,3.53,3.58,3.635,3.716,3.809,3.965,4.012,4.038,4.144,4.208,4.247,4.311,4.349,4.38,4.413,4.501,4.525,4.726,4.763,4.817,4.845,4.873,4.889,4.949,4.973,5.049,5.103,5.143,5.236,5.359,5.546,5.714,5.756,5.784,5.873,5.964,6.007,6.064,6.267,6.309,6.371,6.404,6.44,6.512,6.564,6.588,6.676,6.772,6.858,6.914,6.963,7.004,7.069,7.089,7.11,7.14,7.181,7.257,7.291,7.323,7.374,7.443,7.555,7.656,7.786,7.917,7.997,8.121,8.145,8.172,8.325,8.395,8.479,8.504,8.582,8.612,8.844,8.892,8.912,9.011,9.055,9.087,9.134,9.187,9.218,9.274,9.361,9.391,9.461,9.483,9.556,9.659,9.686,9.761,9.788,9.82,9.873,9.931,9.98,nan,nan,nan
0.031,0.139,0.352,0.497,0.565,0.699,0.779,0.886,0.919,1.049,1.09,1.264,1.305,1.322,1.355,1.435,1.495,1.578,1.62,1.644,1.7,1.726,1.791,1.807,1.84,2.126,2.149,2.242,2.311,2.34,2.556,2.595,2.638,2.682,2.794,2.9,2.941,3.117,3.141,3.188,3.228,3.242,3.277,3.328,3.361,3.442,3.477,3.551,3.601,3.704,3.723,3.752,3.808,3.844,4.079,4.165,4.249,4.27,4.289,4.337,4.359,4.402,4.439,4.49,4.54,4.567,4.599,4.689,4.707,4.745,4.817,4.874,4.913,4.942,4.981,5.04,5.08,5.112,5.145,5.22,5.316,5.378,5.487,5.523,5.561,5.687,5.743,5.768,5.853,5.895,5.95,6.007,6.036,6.053,6.291,6.329,6.466,6.502,6.745,6.773,6.873,7.045,7.117,7.184,7.284,7.415,7.451,7.563,7.689,7.891,7.98,8.044,8.119,8.185,8.36,8.414,8.485,8.568,8.643,8.679,8.795,8.882,8.954,8.985,9.083,9.179,9.329,9.572,9.65,9.734,9.772,9.893,9.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039,0.108,0.138,0.338,0.363,0.39,0.418,0.631,0.746,0.858,0.89,1.057,1.101,1.18,1.35,1.491,1.525,1.76,1.936,2.086,2.115,2.143,2.311,2.341,2.407,2.457,2.535,2.616,2.978,3.028,3.13,3.156,3.286,3.311,3.355,3.453,3.495,3.52,3.585,3.66,3.789,3.835,3.886,3.928,3.992,4.028,4.058,4.141,4.231,4.313,4.407,4.449,4.507,4.558,4.652,4.687,4.723,4.756,4.823,4.858,4.898,4.942,4.981,5.017,5.104,5.136,5.199,5.228,5.257,5.318,5.414,5.44,5.521,5.571,5.642,5.705,5.805,5.852,5.876,6.0,6.055,6.097,6.138,6.16,6.199,6.247,6.268,6.315,6.344,6.529,6.572,6.652,6.703,6.739,6.759,6.781,6.801,7.019,7.112,7.152,7.196,7.251,7.31,7.353,7.371,7.4,7.459,7.506,7.581,7.64,7.721,7.767,7.818,7.837,7.917,7.969,8.01,8.046,8.066,8.168,8.213,8.294,8.362,8.386,8.465,8.554,8.586,8.688,8.766,8.8,8.899,8.969,9.098,9.146,9.191,9.234,9.268,9.329,9.384,9.404,9.584,9.634,9.672,9.698,9.82,9.862,9.894,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.031,0.087,0.174,0.278,0.318,0.361,0.395,0.454,0.582,0.644,0.657,0.716,0.747,0.781,0.862,1.01,1.046,1.079,1.129,1.199,1.222,1.419,1.561,1.584,1.683,1.771,1.838,1.957,2.007,2.029,2.052,2.071,2.103,2.13,2.2,2.28,2.309,2.345,2.419,2.458,2.489,2.519,2.567,2.585,2.619,2.672,2.693,2.71,2.761,2.875,2.96,3.137,3.331,3.442,3.553,3.575,3.637,3.719,3.833,3.889,3.923,3.956,4.127,4.235,4.289,4.329,4.399,4.497,4.529,4.596,4.658,4.894,5.004,5.04,5.09,5.172,5.218,5.314,5.379,5.432,5.501,5.618,5.676,5.701,5.879,5.98,6.084,6.155,6.241,6.266,6.483,6.56,6.581,6.63,6.762,6.797,6.82,6.971,7.058,7.092,7.173,7.223,7.296,7.334,7.363,7.382,7.421,7.483,7.602,7.629,7.665,7.797,7.843,7.896,7.981,8.078,8.097,8.238,8.362,8.386,8.447,8.476,8.542,8.616,8.653,8.683,8.713,8.758,8.782,8.805,8.869,8.922,8.96,9.023,9.102,9.187,9.27,9.32,9.355,9.44,9.502,9.566,9.584,9.645,9.701,9.787,9.81,9.921,9.963,nan,nan,nan,nan,nan,nan,nan,nan
0.043,0.082,0.144,0.266,0.308,0.362,0.391,0.461,0.521,0.635,0.757,0.783,0.896,0.927,1.115,1.181,1.233,1.27,1.342,1.373,1.421,1.454,1.49,1.606,1.68,1.853,1.921,1.968,2.039,2.077,2.171,2.233,2.329,2.444,2.539,2.581,2.602,2.632,2.742,2.766,2.8,2.857,2.898,2.937,2.986,3.022,3.04,3.064,3.129,3.534,3.604,3.619,3.65,3.774,3.793,3.821,3.951,4.044,4.107,4.145,4.218,4.282,4.346,4.364,4.398,4.48,4.524,4.617,4.733,4.759,4.966,4.988,5.101,5.125,5.163,5.312,5.365,5.434,5.487,5.57,5.591,5.669,5.696,5.771,5.827,5.937,5.961,6.023,6.047,6.092,6.18,6.253,6.324,6.378,6.411,6.501,6.538,6.57,6.598,6.641,6.663,6.774,6.857,6.887,6.988,7.071,7.14,7.221,7.29,7.38,7.421,7.438,7.627,7.673,7.775,7.808,7.866,8.059,8.089,8.258,8.29,8.348,8.377,8.548,8.577,8.757,8.794,8.892,8.99,9.05,9.081,9.125,9.202,9.768,9.81,9.824,9.845,9.871,9.897,9.94,9.984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
